都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード,geo3x3
18,福井県,18201,福井市,182010001000,在田町,35.994514,136.146607,0,1,E913873275566
18,福井県,18201,福井市,182010002000,赤坂町,35.999336,135.989078,0,1,E913872379212
18,福井県,18201,福井市,182010003000,赤谷町,35.963444,136.335967,0,1,E913881155217
18,福井県,18201,福井市,182010004000,明里町,36.060895,136.199152,0,1,E913873568818
18,福井県,18201,福井市,182010005000,朝谷町,35.998790,136.351973,0,1,E913881194779
18,福井県,18201,福井市,182010006000,朝宮町,36.036058,136.176828,0,1,E913873552335
18,福井県,18201,福井市,182010007000,足谷町,36.075854,136.108162,0,1,E913873494516
18,福井県,18201,福井市,182010008000,味見河内町,35.937921,136.447817,0,1,E913881235297
18,福井県,18201,福井市,182010009001,足羽一丁目,36.059357,136.209421,0,3,E913873569582
18,福井県,18201,福井市,182010009002,足羽二丁目,36.060399,136.205262,0,3,E913873569715
18,福井県,18201,福井市,182010009003,足羽三丁目,36.057761,136.205192,0,3,E913873569418
18,福井県,18201,福井市,182010009004,足羽四丁目,36.055880,136.201887,0,3,E913873568347
18,福井県,18201,福井市,182010009005,足羽五丁目,36.057459,136.199430,0,3,E913873568516
18,福井県,18201,福井市,182010010000,足羽上町,36.055235,136.207431,0,1,E913873569162
18,福井県,18201,福井市,182010011000,浅水三ケ町,36.002987,136.202137,0,1,E913873298617
18,福井県,18201,福井市,182010012000,浅水町,36.006347,136.199473,0,1,E913873298843
18,福井県,18201,福井市,182010013000,浅水二日町,36.001975,136.197951,0,1,E913873298197
18,福井県,18201,福井市,182010014000,網戸瀬町,36.105751,136.201204,0,1,E913873835598
18,福井県,18201,福井市,182010015000,安波賀町,36.010090,136.300354,0,1,E913881411249
18,福井県,18201,福井市,182010016000,安波賀中島町,36.015112,136.296343,0,1,E913881411717
18,福井県,18201,福井市,182010017000,安保町,36.009301,136.197946,0,1,E913873532161
18,福井県,18201,福井市,182010018000,天池町,36.108030,136.216026,0,1,E913873914791
18,福井県,18201,福井市,182010019000,尼ケ谷町,36.013085,136.036241,0,1,E913872632567
18,福井県,18201,福井市,182010020000,天菅生町,36.122816,136.169331,0,1,E913873852457
18,福井県,18201,福井市,182010021000,鮎川町,36.090976,136.038863,0,1,E913872932325
18,福井県,18201,福井市,182010022000,荒木新保町,36.034073,136.266646,0,1,E913873629946
18,福井県,18201,福井市,182010023000,荒木町,36.039727,136.266929,0,1,E913873653627
18,福井県,18201,福井市,182010024000,荒木別所町,36.045820,136.264219,0,1,E913873656228
18,福井県,18201,福井市,182010025000,荒谷町,36.109971,136.123395,0,1,E913873739143
18,福井県,18201,福井市,182010026000,飯塚町,36.063760,136.181315,0,1,E913873583216
18,福井県,18201,福井市,182010027000,幾久町,36.082265,136.226476,0,1,E913873678217
18,福井県,18201,福井市,182010028002,幾代二丁目,36.087933,136.225994,0,3,E913873678736
18,福井県,18201,福井市,182010029000,居倉町,36.006354,135.987576,0,1,E913872379761
18,福井県,18201,福井市,182010030000,池尻町,36.150436,136.151667,0,1,E913873873458
18,福井県,18201,福井市,182010031000,生部町,35.991010,136.249157,0,1,E913873384352
18,福井県,18201,福井市,182010032000,石新保町,36.156613,136.105099,0,1,E913873794173
18,福井県,18201,福井市,182010033000,石橋町,36.151573,136.101277,0,1,E913873783911
18,福井県,18201,福井市,182010034000,石畠町,36.136542,136.122146,0,1,E913873768332
18,福井県,18201,福井市,182010035000,石盛町,36.116846,136.227768,0,1,E913873918858
18,福井県,18201,福井市,182010036000,泉田町,36.094410,136.270089,0,1,E913873931427
18,福井県,18201,福井市,182010037001,板垣一丁目,36.050678,136.228989,0,3,E913873645599
18,福井県,18201,福井市,182010037002,板垣二丁目,36.048312,136.229507,0,3,E913873645614
18,福井県,18201,福井市,182010037003,板垣三丁目,36.046209,136.233162,0,3,E913873646146
18,福井県,18201,福井市,182010037004,板垣四丁目,36.045666,136.229263,0,3,E913873645317
18,福井県,18201,福井市,182010037005,板垣五丁目,36.043860,136.229717,0,3,E913873642972
18,福井県,18201,福井市,182010038000,板垣町,36.051872,136.229141,0,1,E913873645839
18,福井県,18201,福井市,182010039000,一王寺町,36.097381,136.134327,0,1,E913873811738
18,福井県,18201,福井市,182010040000,市波町,36.013177,136.327263,0,1,E913881421548
18,福井県,18201,福井市,182010041000,市ノ瀬町,36.129311,136.106495,0,1,E913873764191
18,福井県,18201,福井市,182010042000,一本木町,36.052860,136.225995,0,1,E913873645769
18,福井県,18201,福井市,182010043000,糸崎町,36.117652,136.062160,0,1,E913873718878
18,福井県,18201,福井市,182010044000,稲多新町,36.102459,136.223690,0,1,E913873915178
18,福井県,18201,福井市,182010045000,稲多浜町,36.101141,136.224153,0,1,E913873915154
18,福井県,18201,福井市,182010046000,稲多元町,36.102139,136.225606,0,1,E913873915195
18,福井県,18201,福井市,182010047000,稲津町,36.027967,136.258240,0,1,E913873628355
18,福井県,18201,福井市,182010048000,今泉町,36.066460,136.262051,0,1,E913873683431
18,福井県,18201,福井市,182010049000,今市町,36.014729,136.203628,0,1,E913873532926
18,福井県,18201,福井市,182010050000,岩倉町,36.004359,136.260477,0,1,E913873389473
18,福井県,18201,福井市,182010051000,印田町,36.055814,136.261062,0,1,E913873659157
18,福井県,18201,福井市,182010052000,上野町,36.138867,136.148075,0,1,E913873848384
