geo3x3,city,town
E912646248,大分市,青崎一丁目
E9126462492,大分市,青崎二丁目
E9126453293,大分市,青葉台一丁目
E912645326,大分市,青葉台二丁目
E91264532922,大分市,青葉台三丁目
E91264532929,大分市,青葉台四丁目
E9126461468,大分市,青葉町
E9126461267,大分市,明野北一丁目
E9126461295,大分市,明野北二丁目
E9126461296,大分市,明野北三丁目
E91264612931,大分市,明野北四丁目
E91264612933,大分市,明野北五丁目
E9126461234,大分市,明野高尾一丁目
E9126461226,大分市,明野高尾二丁目
E912643788,大分市,明野高尾三丁目
E9126461222,大分市,明野高尾四丁目
E9126461259,大分市,明野西一丁目
E9126461282,大分市,明野西二丁目
E9126461265,大分市,明野東一丁目
E9126461266,大分市,明野東二丁目
E9126461239,大分市,明野東三丁目
E9126461236,大分市,明野東四丁目
E912646131,大分市,明野東五丁目
E9126461256,大分市,明野南一丁目
E9126461252,大分市,明野南二丁目
E9126461237,大分市,明野南三丁目
E9126462287,大分市,曙台一丁目
E91264622884,大分市,曙台二丁目
E9126462285,大分市,曙台三丁目
E91264622886,大分市,曙台四丁目
E91264536193,大分市,生石一丁目
E91264536195,大分市,生石二丁目
E9126453627,大分市,生石三丁目
E91264536199,大分市,生石四丁目
E9126453643,大分市,生石五丁目
E91264536421,大分市,生石港町一丁目
E91264536425,大分市,生石港町二丁目
E91264614462,大分市,泉町
E9126461426,大分市,今津留一丁目
E9126461434,大分市,今津留二丁目
E9126461435,大分市,今津留三丁目
E9126461197,大分市,岩田町一丁目
E9126461198,大分市,岩田町二丁目
E91264611997,大分市,岩田町三丁目
E91264611991,大分市,岩田町四丁目
E9126461144,大分市,上野丘一丁目
E9126461145,大分市,上野丘二丁目
E9126461146,大分市,上野丘西
E9126461154,大分市,上野丘東
E9126461149,大分市,上野町
E9126462613,大分市,恵比寿町
E9126453629,大分市,王子北町
E9126453388,大分市,王子新町
E91264536265,大分市,王子中町
E9126453625,大分市,王子西町
E91264536281,大分市,王子町
E91264536284,大分市,王子港町
E91264536261,大分市,王子南町
E9126453387,大分市,王子山の手町
E9126462611,大分市,王ノ瀬一丁目
E9126462615,大分市,王ノ瀬二丁目
E912646273,大分市,大字青崎
E912643879,大分市,大字丹川
E91264268,大分市,大字安藤
E912646247,大分市,大字家島
E9126453617,大分市,大字生石
E912642983,大分市,大字市
E912646224,大分市,大字一木
E912643898,大分市,大字市尾
E912646271,大分市,大字一の洲
E91264399,大分市,大字一尺屋
E9126461346,大分市,大字猪野
E91264257,大分市,大字今市
E91264291,大分市,大字入蔵
E912645331,大分市,大字荏隈
E9126461156,大分市,大字大分
E912646258,大分市,大字大在
E912642828,大分市,大字太田
E912643796,大分市,大字大津留
E912646329,大分市,大字大平
E912642964,大分市,大字岡川
E912643496,大分市,大字奥
E912642998,大分市,大字奥田
E9126437724,大分市,大字鴛野
E9126461632,大分市,大字乙津
E9126462452,大分市,大字小中島
E912642974,大分市,大字鬼崎
E9126461655,大分市,大字海原
E912643787,大分市,大字片島
E912646135,大分市,大字葛木
E912645328,大分市,大字金谷迫
E912642821,大分市,大字上詰
E91264293,大分市,大字上判田
E912643494,大分市,大字上戸次
E91264269,大分市,大字河原内
E912645354,大分市,大字神崎
E912646321,大分市,大字木佐上
E9126462493,大分市,大字北
E912643899,大分市,大字木田
E912642955,大分市,大字木上
E912642956,大分市,大字口戸
E912643889,大分市,大字久土
E912646263,大分市,大字久原
E912643795,大分市,大字毛井
E912646137,大分市,大字小池原
E912642984,大分市,大字国分
E9126462622,大分市,大字坂ノ市
E912646215,大分市,大字迫
E9126462291,大分市,大字里
E912643885,大分市,大字佐野
E91264267,大分市,大字沢田
E912643469,大分市,大字志津留
E912646218,大分市,大字志村
E9126438777,大分市,大字下徳丸
E912642831,大分市,大字下原
E91264384,大分市,大字下戸次
E912642995,大分市,大字下宗方
E91264633,大分市,大字志生木
E9126462297,大分市,大字城原
E912643499,大分市,大字杉原
E9126453662,大分市,大字勢家
E9126462119,大分市,大字関園
E9126461621,大分市,大字千歳
E912643747,大分市,大字寒田
E91264534,大分市,大字高崎
E912642959,大分市,大字高瀬
E912642554,大分市,大字高原
E9126462539,大分市,大字竹下
E91264372,大分市,大字竹中
E912642838,大分市,大字竹矢
E9126429689,大分市,大字田尻
E912646212,大分市,大字種具
E9126453611,大分市,大字駄原
E9126429816,大分市,大字田原
E9126429918,大分市,大字玉沢
E912643749,大分市,大字旦野原
E912643572,大分市,大字月形
E912643574,大分市,大字辻
E912642836,大分市,大字辻原
E9126462117,大分市,大字常行
E9126462432,大分市,大字角子原
E912643779,大分市,大字津守
E9126462441,大分市,大字鶴崎
E912643799,大分市,大字鶴瀬
E912642987,大分市,大字中尾
E91264619,大分市,大字中ノ洲
E9126437431,大分市,大字中判田
E9126437382,大分市,大字中戸次
E912642559,大分市,大字荷尾杵
E9126461258,大分市,大字西明野
E912646158,大分市,大字西ノ洲
E912646216,大分市,大字丹生
E912642979,大分市,大字野田
E912642941,大分市,大字野津原
E912643495,大分市,大字萩尾
E912646113,大分市,大字羽田
E9126429991,大分市,大字畑中
E91264348,大分市,大字端登
E91264634,大分市,大字馬場
E9126462553,大分市,大字浜
E912645333,大分市,大字羽屋
E9126461298,大分市,大字東明野
E912646314,大分市,大字東上野
E912646266,大分市,大字日吉原
E912642975,大分市,大字平横瀬
E912643857,大分市,大字広内
E912642865,大分市,大字福宗
E912643813,大分市,大字福良
E9126429997,大分市,大字豊饒
E912646111,大分市,大字古国府
E912646318,大分市,大字細
E912646327,大分市,大字本神崎
E912643776,大分市,大字曲
E9126461285,大分市,大字牧
E912646227,大分市,大字政所
E9126438772,大分市,大字丸亀
