都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード,geo3x3
16,富山県,16201,富山市,162010001000,相生町,36.685821,137.207233,0,1,E9162313172385
16,富山県,16201,富山市,162010002001,綾田町一丁目,36.702108,137.236682,0,3,E9162313519585
16,富山県,16201,富山市,162010002002,綾田町二丁目,36.698900,137.234088,0,3,E9162313515593
16,富山県,16201,富山市,162010002003,綾田町三丁目,36.696560,137.235293,0,3,E9162313513742
16,富山県,16201,富山市,162010003000,青柳,36.610593,137.242509,0,1,E9138979288575
16,富山県,16201,富山市,162010004000,青柳新,36.612286,137.230118,0,1,E9138979511244
16,富山県,16201,富山市,162010005000,赤江町,36.701281,137.218752,0,1,E9162313429532
16,富山県,16201,富山市,162010006000,赤倉,36.552306,137.325249,0,1,E9138984585556
16,富山県,16201,富山市,162010007000,赤田,36.653456,137.219063,0,1,E9138979756678
16,富山県,16201,富山市,162010008000,秋ヶ島,36.645287,137.191462,0,1,E9138978926899
16,富山県,16201,富山市,162010009000,秋吉,36.682065,137.245168,0,1,E9162313259135
16,富山県,16201,富山市,162010010000,秋吉新町,36.679675,137.241968,0,1,E9162313255194
16,富山県,16201,富山市,162010011000,悪王寺,36.632593,137.217506,0,1,E9138979483756
16,富山県,16201,富山市,162010012000,曙町,36.699650,137.224430,0,1,E9162313435854
16,富山県,16201,富山市,162010013000,朝日,36.684448,137.278033,0,1,E9162313368745
16,富山県,16201,富山市,162010014000,旭町,36.686068,137.228201,0,1,E9162313193612
16,富山県,16201,富山市,162010015000,芦生,36.541608,137.240920,0,1,E9138976551989
16,富山県,16201,富山市,162010016000,安住町,36.695503,137.209567,0,1,E9162313413562
16,富山県,16201,富山市,162010017001,愛宕町一丁目,36.699121,137.206516,0,3,E9162313415598
16,富山県,16201,富山市,162010017002,愛宕町二丁目,36.698199,137.206228,0,3,E9162313415522
16,富山県,16201,富山市,162010018000,荒川,36.689190,137.256609,0,1,E9162313374414
