geo3x3,city,town
E9138183447,大津市,青山一丁目
E9138183448,大津市,青山二丁目
E9138183445,大津市,青山三丁目
E9138183444,大津市,青山四丁目
E9138182666,大津市,青山五丁目
E91381834428,大津市,青山六丁目
E91381834423,大津市,青山七丁目
E9138183443,大津市,青山八丁目
E9138182125,大津市,赤尾町
E9138184376,大津市,あかね町
E913818169,大津市,秋葉台
E9138188542,大津市,朝日一丁目
E9138188544,大津市,朝日二丁目
E9138181927,大津市,朝日が丘一丁目
E9138181924,大津市,朝日が丘二丁目
E9138184627,大津市,穴太一丁目
E9138184616,大津市,穴太二丁目
E9138184618,大津市,穴太三丁目
E91384224,大津市,荒川
E9138182456,大津市,粟津町
E913818756,大津市,伊香立上在地町
E91381879,大津市,伊香立上龍華町
E913818767,大津市,伊香立北在地町
E913818766,大津市,伊香立下在地町
E913818848,大津市,伊香立下龍華町
E91381878,大津市,伊香立途中町
E913818761,大津市,伊香立生津町
E913818738,大津市,伊香立南庄町
E913818763,大津市,伊香立向在地町
E9138181686,大津市,池の里
E9138182228,大津市,石居一丁目
E9138182229,大津市,石居二丁目
E9138182264,大津市,石居三丁目
E91381819611,大津市,石場
E913815796,大津市,石山内畑町
E913818133,大津市,石山千町
E913815874,大津市,石山外畑町
E9138182186,大津市,石山寺一丁目
E9138182191,大津市,石山寺二丁目
E9138182193,大津市,石山寺三丁目
E9138182181,大津市,石山寺四丁目
E9138182156,大津市,石山寺五丁目
E913818136,大津市,石山寺辺町
E9138158764,大津市,石山南郷町
E913815877,大津市,石山平津町
E9138182583,大津市,一里山一丁目
E9138182559,大津市,一里山二丁目
E9138182568,大津市,一里山三丁目
E9138182564,大津市,一里山四丁目
E9138182565,大津市,一里山五丁目
E9138182563,大津市,一里山六丁目
E913818253,大津市,一里山七丁目
E9138182241,大津市,稲津一丁目
E9138182218,大津市,稲津二丁目
E9138182219,大津市,稲津三丁目
E9138182213,大津市,稲津四丁目
E9138182227,大津市,稲津五丁目
E913818182,大津市,稲葉台
E9138188258,大津市,今堅田一丁目
E9138188281,大津市,今堅田二丁目
E9138188285,大津市,今堅田三丁目
E91381819618,大津市,打出浜
E91381819516,大津市,梅林一丁目
E91381819513,大津市,梅林二丁目
E9138181913,大津市,梅林町
E9138182234,大津市,枝一丁目
E9138182235,大津市,枝二丁目
E91381588969,大津市,枝三丁目
E91381588964,大津市,枝四丁目
E9138181587,大津市,追分町
E913818167,大津市,逢坂一丁目
E9138181941,大津市,逢坂二丁目
E9138184235,大津市,皇子が丘一丁目
E9138184233,大津市,皇子が丘二丁目
E9138184311,大津市,皇子が丘三丁目
E9138158188,大津市,大石小田原一丁目
E913815842,大津市,大石小田原二丁目
E9138158186,大津市,大石小田原町
E9138157697,大津市,大石曽束一丁目
E9138157694,大津市,大石曽束二丁目
E9138157692,大津市,大石曽束三丁目
E9138157686,大津市,大石曽束四丁目
