townid,town
16539,川二丁目
16537,大字川
2549,原市中一丁目
2543,原市中三丁目
2775,菅谷四丁目
257,原市北一丁目
2748,菅谷一丁目
1664,川一丁目
2473,仲町二丁目
2776,須ケ谷三丁目
19369,緑丘五丁目
19367,緑丘四丁目
1925,中妻一丁目
1921,中妻二丁目
2725,大字上尾宿
2445,西宮下一丁目
2476,本町一丁目
24743,宮本町
16589,弁財一丁目
1839,井戸木三丁目
2478,本町三丁目
2443,西宮下三丁目
2447,谷津一丁目
1835,泉台二丁目
2773,菅谷二丁目
2774,菅谷五丁目
1926,原新町
2472,仲町一丁目
2484,本町二丁目
19178,井戸木一丁目
2784,須ケ谷二丁目
1837,泉台三丁目
2453,日の出一丁目
2713,本町四丁目
1669,谷津二丁目
1692,柏座二丁目
1666,富士見一丁目
1629,向山四丁目
2772,菅谷三丁目
1659,柏座四丁目
2456,日の出二丁目
1691,柏座三丁目
2778,菅谷六丁目
1939,錦町
1665,富士見二丁目
1923,浅間台一丁目
1828,藤波四丁目
1623,大字向山
1912,中妻四丁目
1935,緑丘二丁目
2458,東町二丁目
1699,上町二丁目
1679,浅間台四丁目
1932,緑丘一丁目
1686,春日二丁目
2545,五番町
1696,柏座一丁目
2448,愛宕一丁目
2461,日の出三丁目
24747,上町一丁目
1915,中妻五丁目
2482,東町一丁目
19171,井戸木四丁目
2483,東町三丁目
1941,井戸木二丁目
1937,緑丘三丁目
2749,平塚一丁目
2442,西宮下二丁目
1626,向山二丁目
275,平塚二丁目
1832,中分六丁目
1661,向山三丁目
1688,浅間台二丁目
16581,今泉一丁目
2441,西宮下四丁目
2715,本町六丁目
2457,愛宕二丁目
2465,日の出四丁目
2711,本町五丁目
242,栄町
2782,須ケ谷一丁目
1261,大字西貝塚
1638,向山一丁目
1684,浅間台三丁目
1852,藤波三丁目
1916,中妻三丁目
156,中分一丁目
1587,中分四丁目
1589,中分三丁目
1697,春日一丁目
199,大字南
181,藤波二丁目
1824,藤波一丁目
2771,大字菅谷
1239,大字上野本郷
1834,中分五丁目
1391,大字堤崎
2454,愛宕三丁目
2719,大字上尾村
2468,大字上尾下
2722,二ツ宮
138,大字地頭方
1624,大字壱丁目
1643,大字今泉
1396,大字中新井
2148,大字戸崎
1349,大字平方領々家
1269,大字上野
1632,大字大谷本郷
153,大字小敷谷
155,大字畔吉
1581,大字領家
1983,大字上
273,大字平塚
253,大字瓦葺
128,大字平方
255,大字原市
1956,大字久保
1961,上平中央一丁目
1965,大字西門前
1966,上平中央三丁目
1962,上平中央二丁目
159,中分二丁目
1833,大字小泉
1911,泉台一丁目
1674,小泉九丁目
1683,弁財二丁目
1681,小泉三丁目
1673,小泉四丁目
16719,小泉八丁目
1649,小泉二丁目
1648,小泉六丁目
16711,小泉七丁目
1657,小泉一丁目
1675,小泉五丁目
