townid,town
542812,間之町
542468,旭町
54286,伊賀町
542875,石火矢町
584,有漢町有漢
587,有漢町上有漢
4556,宇治町穴田
4596,宇治町宇治
467,宇治町遠原
4595,宇治町本郷
5452,内山下
5429,奥万田町
5414,落合町阿部
4629,落合町福地
5419,落合町近似
463,落合町原田
542876,御前町
5428415,柿木町
5427398,鍜冶町
542874,片原町
54253,上谷町
4193,川上町大原
4218,川上町上大竹
424,川上町高山
4191,川上町高山市
426,川上町地頭
425,川上町下大竹
4375,川上町臘数
4286,川上町七地
422,川上町仁賀
434,川上町三沢
4611,川上町吉木
429,川上町領家
5451,川端町
571,川面町
542817,甲賀町
5427399,荒神町
546,小高下町
573,巨瀬町
542495,栄町
5422,下谷町
542738,下町
542871,新町
5428417,大工町
492,高倉町飯部
5446,高倉町大瀬八長
547,高倉町田井
439,玉川町下切
517,玉川町玉
436,玉川町増原
5413,段町
54276,中間町
5459,津川町今津
548,津川町八川
542489,鉄砲町
542843,寺町
577,中井町津々
574,中井町西方
542848,中之町
542428,中原町
4537,成羽町相坂
4553,成羽町長地
435,成羽町上日名
4539,成羽町小泉
481,成羽町坂本
4612,成羽町佐々木
4387,成羽町下原
4389,成羽町下日名
458,成羽町中野
4624,成羽町成羽
456,成羽町羽根
464,成羽町羽山
483,成羽町吹屋
4551,成羽町布寄
4379,成羽町星原
542572,浜町
542463,原田北町
542423,原田南町
542732,東町
4532,備中町志藤用瀬
452,備中町長屋
447,備中町西山
449,備中町西油野
457,備中町東油野
443,備中町平川
451,備中町布賀
4288,備中町布瀬
54279,本町
542574,正宗町
466,松原町大津寄
5447,松原町神原
469,松原町春木
465,松原町松岡
542811,松原通
543,松山
542483,南町
542842,向町
542736,八幡町
542497,弓之町
54244,横町
542849,頼久寺町
54282,和田町
