townid,town
73311,秋勇留島
498773,明郷
49888998,曙町一丁目
498889994,曙町二丁目
498889992,曙町三丁目
732223238,朝日町一丁目
732223235,朝日町二丁目
732223239,朝日町三丁目
4987492,厚床一丁目
4987491,厚床二丁目
498889899,有磯町一丁目
732223312,有磯町二丁目
7322231333,梅ケ枝町一丁目
732223212,梅ケ枝町二丁目
732223216,梅ケ枝町三丁目
498843,落石西
498846,落石東
498873,温根沼
732319,温根元
73222329,海岸町一丁目
732223533,海岸町二丁目
498894,桂木
498791,川口
73222369,北浜町一丁目
7322317,北浜町二丁目
498889871,清隆町一丁目
498889848,清隆町二丁目
498889846,清隆町三丁目
49888996,光洋町一丁目
4988974,光洋町二丁目
49889772,光洋町三丁目
4988975,光洋町四丁目
498898,光洋町五丁目
498889842,光和町一丁目
49888981,光和町二丁目
49888982,光和町三丁目
732223537,琴平町一丁目
73222361,琴平町二丁目
73222364,琴平町三丁目
498782,湖南
732223334,駒場町一丁目
73222339,駒場町二丁目
7322318,駒場町三丁目
732324,珸瑤瑁一丁目
7323219,珸瑤瑁二丁目
7323255,珸瑤瑁三丁目
498857,昆布盛
498889893,幸町一丁目
498889944,幸町二丁目
498889942,幸町三丁目
732223342,栄町一丁目
732223319,栄町二丁目
498889754,定基町一丁目
498889758,定基町二丁目
498889755,定基町三丁目
498889756,定基町四丁目
732223349,汐見町一丁目
73222337,汐見町二丁目
498889731,敷島町一丁目
498889733,敷島町二丁目
73319,志発島
498871,春国岱
49888991,昭和町一丁目
49888992,昭和町二丁目
49888993,昭和町三丁目
49888966,昭和町四丁目
73236,水晶島
49888985,大正町一丁目
49888986,大正町二丁目
498889838,大正町三丁目
498889976,宝町一丁目
498889973,宝町二丁目
49888995,宝町三丁目
7335,多楽島
732223266,千島町一丁目
732223347,千島町二丁目
498882,長節
49888951,月岡町一丁目
4988868,月岡町二丁目
732223321,月見町一丁目
732223323,月見町二丁目
498849,東梅
498889873,常盤町一丁目
498889881,常盤町二丁目
498889886,常盤町三丁目
498899,友知
732315,豊里
732223253,鳴海町一丁目
732223264,鳴海町二丁目
732223261,鳴海町三丁目
732223262,鳴海町四丁目
498748,西厚床
49888858,西浜町十丁目
49888945,西浜町一丁目
49888944,西浜町二丁目
49888865,西浜町三丁目
49888862,西浜町四丁目
49888839,西浜町五丁目
49888837,西浜町六丁目
498888932,西浜町七丁目
49888867,西浜町八丁目
49888855,西浜町九丁目
498881,西和田
7323254,納沙布
498756,初田牛
732223227,花咲町一丁目
732223224,花咲町二丁目
732223222,花咲町三丁目
4988865,花咲港
498888939,花園町一丁目
498889741,花園町二丁目
498889745,花園町三丁目
498889714,花園町四丁目
498889718,花園町五丁目
498889743,花園町六丁目
498889713,花園町七丁目
498889724,花園町八丁目
498889728,花園町九丁目
7323123,歯舞一丁目
7323126,歯舞二丁目
7323136,歯舞三丁目
7323133,歯舞四丁目
7323215,歯舞五丁目
498854,浜松
4987549,東厚床
498885,東和田
7323111,双沖一丁目
7323116,双沖二丁目
498889782,平内町一丁目
498889786,平内町二丁目
498889767,平内町三丁目
498889792,平内町四丁目
49876,別当賀
7322234,弁天島
732223621,弁天町一丁目
732223627,弁天町二丁目
49888958,宝林町一丁目
498889835,宝林町二丁目
49888967,宝林町三丁目
49888961,宝林町四丁目
4988893,宝林町五丁目
498889765,北斗町一丁目
498889769,北斗町二丁目
498889763,北斗町三丁目
498889844,北斗町四丁目
498887,穂香
498884,幌茂尻
7322231339,本町一丁目
732223217,本町二丁目
732223241,本町三丁目
732223246,本町四丁目
732223256,本町五丁目
732232,牧の内
732223228,松ケ枝町一丁目
732223229,松ケ枝町二丁目
732223234,松ケ枝町三丁目
498889753,松本町一丁目
498889761,松本町二丁目
498889737,松本町三丁目
498889762,松本町四丁目
498888962,岬町一丁目
498888966,岬町二丁目
498889744,岬町三丁目
498889748,岬町四丁目
498889781,岬町五丁目
498889877,緑町一丁目
498889879,緑町二丁目
732223221,緑町三丁目
732223333,明治町一丁目
49889777,明治町二丁目
49889778,明治町三丁目
498889894,弥栄町一丁目
498889898,弥栄町二丁目
498889798,弥生町一丁目
498889796,弥生町二丁目
498784,槍昔
73315,勇留島
498793,酪陽
