townid,town
42116,大字会々
17996,大字穴井迫
41332,大字市用
41311,大字今
17998,大字岩瀬
17966,大字岩本
4214,大字植木
42154,大字枝
18754,大字太田
41357,大字小川
17897,大字小塚
18789,大字片ケ瀬
41328,大字上坂田
41315,大字上畑
41318,大字刈小野
41322,大字川床
41364,大字城原
18774,大字君ケ園
1768,大字九重野
41236,大字久保
18721,大字倉木
1847,大字神原
41325,大字志土知
41329,大字下坂田
41334,大字下志土知
17975,大字菅生
41327,大字炭竈
18742,大字田井
41369,大字高伏
42122,大字竹田
42121,大字竹田町
18776,大字玉来
17938,大字次倉
17984,大字戸上
42155,大字中
17932,大字中角
18782,大字入田
18778,大字拝田原
42129,大字挟田
42113,大字飛田川
42117,大字平田
41355,大字福原
41351,大字古園
42153,大字三宅
17989,大字向山田
18745,大字門田
18773,大字吉田
41338,大字米納
17991,大字渡瀬
179512,荻町瓜作
17955,荻町恵良原
17835,荻町大平
17918,荻町柏原
17839,荻町叶野
179517,荻町北原
17891,荻町木下
17862,荻町桑木
17952,荻町西福寺
17961,荻町鴫田
17973,荻町新藤
17958,荻町高城
17942,荻町高練木
1792,荻町田代
17948,荻町馬場
17833,荻町陽目
17869,荻町藤渡
17917,荻町仏面
17967,荻町馬背野
17971,荻町政所
17982,荻町南河内
17919,荻町宮平
4164,久住町大字有氏
4138,久住町大字栢木
415,久住町大字久住
4128,久住町大字白丹
41237,久住町大字添ケ津留
4163,久住町大字仏原
4248,直入町大字上田北
4242,直入町大字神堤
4249,直入町大字下田北
4244,直入町大字長湯
