townid,town
84398,池亀町
85178,池田一丁目
85412,池田二丁目
85414,池田三丁目
8463,池田四丁目
8189,池上町
7369,沖新町
81817,小島一丁目
81814,小島二丁目
81735,小島三丁目
81739,小島四丁目
81762,小島五丁目
81726,小島六丁目
81729,小島七丁目
81761,小島八丁目
8175,小島九丁目
81731,小島上町
739,小島下町
81994,春日一丁目
81959,春日二丁目
81983,春日三丁目
81986,春日四丁目
81982,春日五丁目
81981,春日六丁目
81946,春日七丁目
81948,春日八丁目
85147,上熊本一丁目
843696,上熊本二丁目
85174,上熊本三丁目
81829,上代十丁目
81866,上代一丁目
81863,上代三丁目
81838,上代四丁目
81835,上代五丁目
81826,上代六丁目
81837,上代七丁目
818642,上代八丁目
818553,上代九丁目
818647,上高橋一丁目
8188,上高橋二丁目
8413,上松尾町
8481,河内町大多尾
8418,河内町面木
7638,河内町河内
765,河内町白浜
8427,河内町岳
845,河内町東門寺
844,河内町野出
766,河内町船津
85171,京町本丁
84353,島崎二丁目
84327,島崎三丁目
84351,島崎四丁目
8434,島崎五丁目
8437,島崎六丁目
8429,島崎七丁目
81852,城山大塘一丁目
818518,城山大塘二丁目
818466,城山大塘三丁目
818462,城山大塘四丁目
81845,城山大塘五丁目
81844,城山大塘六丁目
81766,城山大塘七丁目
818511,城山下代一丁目
81827,城山下代二丁目
81816,城山下代三丁目
81818,城山下代四丁目
81841,城山下代五丁目
81825,城山半田一丁目
81823,城山半田二丁目
815878,城山半田三丁目
81824,城山半田四丁目
81813,城山薬師一丁目
81811,城山薬師二丁目
81912,新土河原一丁目
81914,新土河原二丁目
7367,新港一丁目
735,新港二丁目
818554,高橋町一丁目
81857,高橋町二丁目
819527,田崎一丁目
81954,田崎二丁目
81943,田崎三丁目
819529,田崎本町
8423,谷尾崎町
851796,津浦町
851792,出町
84321,戸坂町
8148,中島町
8149,中原町
8177,西松尾町
81967,二本木一丁目
81964,二本木二丁目
819617,二本木三丁目
819611,二本木四丁目
81953,二本木五丁目
819192,野中一丁目
819182,野中二丁目
819172,野中三丁目
843694,花園一丁目
84368,花園二丁目
84367,花園三丁目
84383,花園四丁目
84392,花園五丁目
84384,花園六丁目
8461,花園七丁目
85176,稗田町
81769,松尾二丁目
7633,松尾町近津
8415,松尾町平山
819287,八島一丁目
819198,八島二丁目
843239,横手一丁目
81988,横手二丁目
843231,横手三丁目
84325,横手四丁目
84329,横手五丁目
81926,蓮台寺一丁目
819238,蓮台寺二丁目
819231,蓮台寺三丁目
819281,蓮台寺四丁目
81921,蓮台寺五丁目
8179,中松尾町
81848,松尾一丁目
819188,八島町
81941,上代二丁目
819179,城山上代町
81942,田崎町
