townid,town
593,赤野井町
6193,阿村町
672,荒見町
648,石田町
6194,伊勢町
673,今市町
64357,今宿一丁目
6434,今宿二丁目
6429,今宿三丁目
6426,今宿四丁目
6425,今宿町
836,今浜町
6514,梅田町
6423,焔魔堂町
5663,大林町
6521,岡町
676,笠原町
64353,勝部一丁目
6432,勝部二丁目
6197,勝部三丁目
6196,勝部四丁目
6199,勝部五丁目
6511,勝部六丁目
6278,勝部町
6452,金森町
681,川田町
657,小島町
598,木浜町
9159,小浜町
9151,幸津川町
6468,下之郷一丁目
64915,下之郷二丁目
64911,下之郷三丁目
6459,下之郷町
647,十二里町
687,新庄町
569,杉江町
6746,洲本町
6415,大門町
678,立田町
6525,立入町
6274,千代町
684,中町
9211,服部町
6498,播磨田町
6513,浮気町
6188,二町町
6413,古高町
5665,欲賀町
833,水保町
644,三宅町
5658,森川原町
6439,守山一丁目
6463,守山二丁目
6461,守山三丁目
6465,守山四丁目
6464,守山五丁目
6466,守山六丁目
6456,守山町
6741,矢島町
568,山賀町
6414,横江町
6517,吉身一丁目
65411,吉身二丁目
65419,吉身三丁目
6542,吉身四丁目
65198,吉身五丁目
6518,吉身六丁目
6515,吉身七丁目
65192,吉身町
