townid,town
3971,松坂
6322,福重岡
3976,東尾岐
3988,氷玉
3974,宮川
63238,大石
63219,藤家舘
3987,旭市川
63211,旭寺入
3979,旭無量
63254,橋丸
632527,字西沖
632551,字堂ノ前
63134,尾岐窪
6311,西本
62369,上平
63435,米田
63421,佐賀瀬川
63436,鶴野辺
63437,小沢
63428,沼田
3989,穂馬
39789,大室
39788,西尾
6325293,字村上
632643,字三日町上
6326446,字東谷地
6325666,字中道下
6325671,字黒沢
6325686,字北浦
6325932,字瀬戸屋前
6325935,字松原際
6325915,字杉
632594,字本郷前川原
6326486,字簗場上
6326488,字車川原
6326743,字思堀向
6326846,字上村東
6326844,字上村西道下
6325672,字石切畑
632652,字六日町
632658,字家東
632682,字惣印東
6326576,字向川原
632654,字御用地
632649,字御用地跡
632642,字三日町
632641,字本郷高田町
6326443,字本郷道東
6326448,字寺ノ前
6325669,字真々川
6326471,字本郷上
6325299,字大八郷
63253,字倉田
632565,字本郷道西
6325676,字清水川
632561,字横堀下
6325683,字本郷
632564,字延命寺前
6325566,字蛇ノ宮
6325294,字本郷千苅
6325523,字本郷村西
632553,字丸山
6325529,字宮後
6325564,字北原
632555,字穴田
63268428,字宗頤町
6326763,字上村西道上
6326847,字上村北
632646,字舩場
6326766,字黒川
632681,字惣印南
632673,字新用地
6326756,字黒川内
6326752,字思堀
6326477,字瀬戸町
632595,字川原町北
6326742,字新町
632679,字惣印
6326745,字家西
6326757,字駅前
632677,字竹原
632596,字本屋敷
632599,字広面
632592,字川原町
6325675,字山道上
6325688,字北川原
6325973,字権現堂
6325914,字本郷道上
632558,字下川原
632559,字山道下
6325863,字荒井前
632582,字清水台
632598,字近右エ門田
6325974,字舘ノ廻
632588,字旱泥
6325869,字荒井
6327161,字地尻
6327162,字観音北
632741,字高田道西
6314,蛇喰
63217,旭舘端
63138,旭三寄
63244,冨川
63163,旭杉原
63164,杉屋
6312,吉田
63153,松岸
632734,字大道端
632726,字水戸
632725,字東川原
63245,勝原
6324756,字文珠東
632472,字宮林
632721,字内川原
63249,下堀
63248,字外川原
632479,字法憧寺東
6324783,字宮北
6324758,字文珠西
6324786,字清龍寺北
6327135,字法憧寺北
6324789,字法憧寺南
6324772,字御蔵南
6324774,字舘ノ南
63271139,字川添
6324778,字新丁屋敷
63271132,字西裏屋敷添
6327133,字鹿島
63271583,字新丁西
63271584,字西裏
632712,字龍興寺北
6324781,字高田
632474,字漆原北
631699,字舘ノ越
631698,字布才地
63168,上戸原
63166,永井野
631931,字上江
63155,荻窪
63158,松沢
632738,字宮里
6327611,字安田
632729,字高田前川原
632762,字高田村東
6327617,字宮ノ腰
6327589,字家ノ下
632728,字台ノ下
632745,字高田道東
632724,字高田道上
6327195,字谷地前
6327198,字御田
6327194,字柳台
63196,字沼尻
631939,字油田
631938,字沼ノ上
63186,八木沢
63183,赤留
6327586,字佐布川
63199,寺崎
63277,境野
63198,雀林
6326759,字堰下
63268424,字上村南
632751,字竹ノ花
63517,新屋敷
63463,和田目
63462,立石田
632783,字中川原
632788,字中新田
6327841,字松ノ木田
6327272,字権現宮南
632785,字坂ノ下道下
632781,字坂ノ下道上
6326571,字本郷入口道上
6327192,字谷地
6327275,字権現宮
6325867,字三本松
6327846,字高田中川原道下
