townid,town
499621,大字兄井
4995354,大字移
499616,大字蛭子
4996191,大字大谷
49968,大字大畑
4996196,大字大薮
499643,大字柏木
4995369,大字笠田中
499614,大字笠田東
499386,大字上天野
499389,大字教良寺
4995352,大字窪
499359,大字神田
499371,大字御所
499615,大字佐野
499351,大字志賀
499533,大字島
499382,大字下天野
499625,大字新田
499532,大字背ノ山
49959,大字平
499531,大字高田
499646,大字滝
499652,大字丁ノ町
499613,大字寺尾
499661,大字中飯降
499637,大字西飯降
499299,大字西渋田
4995367,大字萩原
574714,大字花園新子
496939,大字花園池之窪
496934,大字花園北寺
57474,大字花園久木
574716,大字花園中南
49695,大字花園梁瀬
499377,大字東渋田
49967,大字東谷
499348,大字日高
499378,大字平沼田
499641,大字広浦
499566,大字広口
499375,大字星川
499373,大字星山
499655,大字短野
499622,大字三谷
499387,大字宮本
499629,大字妙寺
499634,大字山崎
