townid,town
55933,旭一丁目
56715,旭二丁目
56712,旭三丁目
56749,阿知ケ谷
56288,井口
588,伊久美
582,伊太
5582,稲荷一丁目
55853,稲荷二丁目
558621,稲荷三丁目
55838,稲荷四丁目
5842,鵜網
5579,牛尾
585,相賀
56732,御請
55916,大井町
559229,大川町
559273,扇町
5839,大草
572,大代
559268,大津通
5654,大柳
5652,大柳南
5627,岡田
56717,御仮屋町
5834,尾川
58323,落合
554955,金谷上十五軒
554917,金谷金山町
5573,金谷栄町
55464,金谷坂町
5551,金谷猪土居
554959,金谷下十五軒
5545,金谷城山町
5548,金谷新町
55729,金谷代官町
554915,金谷田町
55723,金谷根岸町
55466,金谷富士見町
554957,金谷古横町
554951,金谷本町
55494,金谷緑町
55468,金谷南町
554958,金谷都町
55498,金谷宮崎町
573,神尾
5542,神谷城
811,川根町家山
821,川根町上河内
852,川根町笹間上
824,川根町笹間下
8162,川根町笹間渡
815,川根町葛籠
812,川根町抜里
579,川根町身成
55834,河原一丁目
55835,河原二丁目
5814,神座
55938,祇園町
5547,菊川
5679,岸
5676,岸町
5528,切山
55928,幸町
559227,栄町
5646,阪本
825,笹間下
5469,佐夜鹿
5493,志戸呂
5576,島
55934,新田町
55923,新町通
5759,高熊
55931,高砂町
56721,高島町
55781,竹下
586,千葉
55952,中央町
56432,月坂一丁目
56436,月坂二丁目
56727,道悦一丁目
56724,道悦二丁目
56725,道悦三丁目
56729,道悦四丁目
56737,道悦五丁目
56731,道悦島
5914,東光寺
5653,中河
55953,中河町
559277,中溝四丁目
5594,中溝町
5599,野田
5597,旗指
5598,ばらの丘一丁目
58321,ばらの丘二丁目
5575,番生寺
5681,東町
55921,日之出町
5756,福用
561952,船木
55699,宝来町
56733,細島
55924,本通一丁目
559254,本通二丁目
559252,本通三丁目
559256,本通四丁目
559262,本通五丁目
559263,本通六丁目
55935,本通七丁目
561957,牧之原
56741,松葉町
558629,三ッ合町
55686,南一丁目
55697,南二丁目
56282,南原
5847,身成
55919,宮川町
55832,向島町
558544,向谷一丁目
558543,向谷二丁目
55855,向谷三丁目
55864,向谷四丁目
55867,向谷元町
55962,元島田
55966,元島田東町
559259,柳町
55677,横井一丁目
55675,横井二丁目
55676,横井三丁目
55685,横井四丁目
5811,横岡
55787,横岡新田
55917,若松町
5555,金谷二軒家
5581,金谷東一丁目
55499,金谷扇町
554967,金谷中町
554964,金谷清水
55571,金谷天王町
55577,金谷泉町
55576,金谷東二丁目
5561,湯日
