townid,town
37347,青葉台
373864,泉ケ丘
373736,稲積一丁目
373577,稲積二丁目
37656,梅ノ木町
38795,老松町
3854,大字伊川
3825,大字今津
3883,大字大積
3733,大字吉志
38569,大字喜多久
3872,大字黒川
38712,大字小森江
3827,大字猿喰
3889,大字白野江
38411,大字大里
62236,大字田野浦
3584,大字恒見
3815,大字畑
3855,大字柄杓田
38751,大字門司
62214,大久保一丁目
62215,大久保二丁目
62216,大久保三丁目
384547,奥田一丁目
38446,奥田二丁目
384543,奥田三丁目
38458,奥田四丁目
3848,奥田五丁目
38878,花月園
38748,風師一丁目
38745,風師二丁目
38741,風師三丁目
38717,風師四丁目
3873,春日町
37938,片上海岸
37933,片上町
37666,上二十町
37354,上藤松一丁目
37346,上藤松二丁目
37344,上藤松三丁目
38876,上本町
373842,上馬寄一丁目
37382,上馬寄二丁目
37358,上馬寄三丁目
38133,吉志一丁目
35799,吉志二丁目
35795,吉志三丁目
35797,吉志四丁目
357881,吉志五丁目
357889,吉志六丁目
38131,吉志七丁目
381325,吉志新町一丁目
381329,吉志新町二丁目
38135,吉志新町三丁目
38134,吉志新町四丁目
376995,北川町
62131,旧門司一丁目
62134,旧門司二丁目
38758,清滝一丁目
387834,清滝二丁目
38759,清滝三丁目
387911,清滝四丁目
387913,清滝五丁目
62211,清見一丁目
62212,清見二丁目
38879,清見三丁目
38887,清見四丁目
38885,清見佐夜町
38744,葛葉一丁目
37963,葛葉二丁目
379367,葛葉三丁目
38578,黒川西一丁目
38576,黒川西二丁目
38579,黒川西三丁目
38813,黒川東一丁目
38819,黒川東二丁目
37664,黄金町
37389,小松町
376987,小森江一丁目
376988,小森江二丁目
37691,小森江三丁目
38794,栄町
38441,寺内一丁目
37639,寺内二丁目
384174,寺内三丁目
38418,寺内四丁目
384175,寺内五丁目
376673,下二十町
376211,下馬寄
37379,社ノ木一丁目
373847,社ノ木二丁目
38796,庄司町
38942,白野江一丁目
38945,白野江二丁目
38949,白野江三丁目
3897,白野江四丁目
38419,城山町
622249,新開
37385,新原町
3822,新門司一丁目
3588,新門司二丁目
3585,新門司三丁目
3828,新門司北一丁目
3829,新門司北二丁目
3826,新門司北三丁目
62139,瀬戸町
3842,大里桜ケ丘
37612,大里新町
37661,大里戸ノ上一丁目
37662,大里戸ノ上二丁目
37638,大里戸ノ上三丁目
37636,大里戸ノ上四丁目
376251,大里原町
376921,大里東一丁目
37668,大里東二丁目
37693,大里東三丁目
37669,大里東四丁目
38471,大里東五丁目
376674,大里東口
37659,大里本町一丁目
37655,大里本町二丁目
376278,大里本町三丁目
37694,大里元町
3739,大里桃山町
38811,高砂町
376259,高田一丁目
37626,高田二丁目
6226,太刀浦海岸
38875,谷町一丁目
38872,谷町二丁目
62226,田野浦一丁目
62237,田野浦二丁目
62234,田野浦三丁目
62227,田野浦海岸
3587,恒見町
38444,永黒一丁目
38445,永黒二丁目
38793,長谷一丁目
3884,長谷二丁目
37665,中二十町
376273,中町
622243,鳴竹一丁目
62222,鳴竹二丁目
38781,西海岸一丁目
38749,西海岸二丁目
37966,西海岸三丁目
387919,錦町
37374,西新町一丁目
37296,西新町二丁目
62133,畑田町
387975,浜町
376991,羽山一丁目
38474,羽山二丁目
376218,原町別院
37378,東新町一丁目
37375,東新町二丁目
387973,東本町一丁目
387987,東本町二丁目
37387,東馬寄
38789,東港町
387986,東門司一丁目
38874,東門司二丁目
37372,光町一丁目
37371,光町二丁目
38561,柄杓田町
387578,広石一丁目
387574,広石二丁目
373734,藤松一丁目
37349,藤松二丁目
37348,藤松三丁目
379365,二タ松町
37623,不老町一丁目
37631,不老町二丁目
37388,別院
38877,法師庵
387839,本町
38443,松崎町
37615,松原一丁目
37611,松原二丁目
37299,松原三丁目
38767,丸山一丁目
38768,丸山二丁目
387619,丸山三丁目
387611,丸山四丁目
38766,丸山吉野町
373573,緑ケ丘
38786,港町
376928,南本町
38755,元清滝
373863,桃山台
37622,柳原町
376299,柳町一丁目
376295,柳町二丁目
37637,柳町三丁目
37635,柳町四丁目
37695,矢筈町
