townid,town
166332413,相生町一丁目
166332412,相生町二丁目
16399984,相沢
16633636,赤剥
166332123,あきほ町
166332436,曙町一丁目
1663325142,曙町二丁目
163999582,字荒町
1639995957,字稲荷沢
1639995883,字内町
1663321356,字扇谷地
1639998221,字片町
163999821,字金谷
1639998223,字北町
163999585,字蔵小路
166331929,字古湊
1639995873,字肴町
1663321357,字鷺谷地
166331394,字下瀬
163999591,字真学寺沢
163999833,字心光寺沢
1639995875,字新町
1639995886,字新屋敷
163999598,字総光寺沢
16399967,字外山越
163999586,字仲町
163999826,字中森
163999581,字西田
166332241,字仁助谷地
166332429,旭新町
163999831,字朴ノ木沢
163999584,字本町
1639995832,字南新屋敷
1639995837,字南町
1639995951,字妙香寺沢
1639995838,字元新屋敷
163999579,字山田
16399977,飛鳥
166332193,東町一丁目
1663321697,東町二丁目
166331328,飯森山一丁目
166331323,飯森山二丁目
166331324,飯森山三丁目
16399979,石名坂
166332365,石橋
16633311,泉興野
166332446,泉町
16399873,板戸
16633376,市条
1663321794,一番町
166331392,入船町
16399938,臼ケ沢
16633256,漆曽根
1663324278,駅東一丁目
166332428,駅東二丁目
166332686,円能寺
1663335,生石
16399699,大川渡
16633611,大久保
16633296,大島田
166332512,大多新田
166333177,大槻新田
16633299,大豊田
16399929,大沼新田
166332253,大野新田
16633165,大浜一丁目
16633164,大浜二丁目
166332254,大町
16633221,大宮
166332132,大宮町一丁目
163998794,大宮町二丁目
163998796,大宮町三丁目
163998799,大宮町四丁目
16633632,大蕨
16633371,岡島田
16633253,荻島
16399878,落野目
166332418,御成町
163999887,小見
163998797,卸町
2417748,柏谷沢
16633226,勝保関
16399858,門田
2441118,上青沢
16399997,上北目
2441144,上黒川
16633259,上興野
16633283,上野曽根
1663321756,上本町
16399989,上餅山
16633292,上安田
166332463,上安町一丁目
166332541,上安町二丁目
166332545,上安町三丁目
166332172,亀ケ崎一丁目
166332157,亀ケ崎二丁目
166332154,亀ケ崎三丁目
166332143,亀ケ崎四丁目
166332152,亀ケ崎五丁目
166332151,亀ケ崎六丁目
166332128,亀ケ崎七丁目
16633295,刈穂
16633532,刈屋
16633613,観音寺
16399882,木川
2441142,北青沢
166331639,北今町
166331663,北里町
16633346,北沢
166336125,北仁田
166332437,北新橋一丁目
166332461,北新橋二丁目
166331638,北新町一丁目
166331637,北新町二丁目
166332448,北千日町
166332447,北千日堂前
166333734,北平沢
2441115,北俣
16633298,城輪
163998772,京田一丁目
163998747,京田二丁目
1639979693,京田三丁目
163998741,京田四丁目
24411457,草津
16633262,久保田
166332344,熊手島
16633237,熊野田
1639976,黒森
1663321999,こあら一丁目
1663321995,こあら二丁目
166332196,こあら三丁目
16633227,古荒新田
166336122,小泉
1639987244,広栄町一丁目
163998721,広栄町二丁目
1639987243,広栄町三丁目
166333149,郡山
166332165,こがね町一丁目
166332137,こがね町二丁目
1663324141,寿町
2417772,小林
16633223,小牧
166332342,小牧新田
166331934,古湊町
1663324272,幸町一丁目
166332419,幸町二丁目
16633347,境興野
166332476,酒井新田
166332417,栄町
16399795,坂野辺新田
166333147,桜林
166333171,桜林興野
16633232,砂越
16633233499,砂越緑町一丁目
16633233495,砂越緑町二丁目
16633233491,砂越緑町三丁目
16633233459,砂越緑町四丁目
16633233455,砂越緑町五丁目
16633233451,砂越緑町六丁目
166332174,山居町一丁目
166331396,山居町二丁目
166333153,三之宮
16399936,地見興屋
1663339,下青沢
16633662,下黒川
163999881,下餅山
166332464,下安町
1639978,十里塚
1663338,常禅寺
16633634,新出
166332434,新橋一丁目
166332431,新橋二丁目
166332423,新橋三丁目
166332197,新橋四丁目
166332198,新橋五丁目
1663316689,新町
166332182,末広町
166332444,住吉町
16633266,関
16633614,芹田
166332171,千石町一丁目
166332148,千石町二丁目
166332445,千日町
16633265,曽根田
166331921,高砂
1663316893,高砂一丁目
166331688,高砂二丁目
1663316895,高砂三丁目
166331923,高砂四丁目
166331355,高見台一丁目
166331351,高見台二丁目
163999574,竹田
16399995,田沢
2417779,楯山
1663324143,中央西町
166332415,中央東町
16633529,千代田
16633536,塚渕
16633228,土崎
16399991,土渕
1663313694,堤町
16399859,局
166332588,鶴田
16633238,手蔵田
16633372,寺田
166332363,天神堂
166332187,東栄町
16635,飛島
16633272,豊里
16633297,豊原
2441141,泥沢
16633323,中北目
16633229,中野新田
16633255,中野曽根
2441112,中野俣
166333155,中野目
16399973,中牧田
1663324113,中町一丁目
1663324111,中町二丁目
166331633,中町三丁目
16633321,楢橋
24177478,成興野
16633264,新青渡
1663321796,新井田町
16399885,新堀
163998771,錦町一丁目
163997993,錦町二丁目
163997995,錦町三丁目
163997968,錦町四丁目
1639979691,錦町五丁目
16399966,西坂本
166332472,西野町
166332178,二番町
16633286,庭田
16633267,布目
16633615,橋本
166332421,浜田一丁目
166332425,浜田二丁目
16399728,浜中
166331682,浜松町
166332353,茨野新田
166332454,東泉町一丁目
166332452,東泉町二丁目
166332455,東泉町三丁目
166332456,東泉町四丁目
166332459,東泉町五丁目
166332483,東泉町六丁目
166332194,東大町一丁目
166332191,東大町二丁目
1663321691,東大町三丁目
166332184,東中の口町
166332125,東両羽町
166331665,光ケ丘一丁目
166331661,光ケ丘二丁目
1663316684,光ケ丘三丁目
166331691,光ケ丘四丁目
166331683,光ケ丘五丁目
16399981,引地
166332433,日の出町一丁目
166332511,日の出町二丁目
166331635,日吉町一丁目
166331632,日吉町二丁目
16399729,広岡新田
1639984,広野
16399817,広野新田
16399819,福岡
16633624,福山
16633276,藤塚
166332438,富士見町一丁目
166332439,富士見町二丁目
1663325149,富士見町三丁目
166331631,船場町一丁目
166331398,船場町二丁目
16633621,麓
166332683,古青渡
16633378,法連寺
1663351,穂積
166333143,堀野内
166332356,本川
1663321757,本町一丁目
166332177,本町二丁目
166331399,本町三丁目
16633293,前川
166332581,牧曽根
