townid,town
6777,青梨子町
67275,青葉町
91236,青柳町
6739,朝倉町
67639,朝倉町一丁目
68417,朝倉町二丁目
68414,朝倉町三丁目
68415,朝倉町四丁目
67536,朝日が丘町
67686,朝日町一丁目
67683,朝日町二丁目
67691,朝日町三丁目
67692,朝日町四丁目
6842,天川大島町
68447,天川大島町一丁目
68448,天川大島町二丁目
68454,天川大島町三丁目
67628,天川原町一丁目
67637,天川原町二丁目
67638,天川町
6836,新井町
6864,荒口町
6866,荒子町
91224,荒牧町
91229,荒牧町一丁目
912259,荒牧町二丁目
912257,荒牧町三丁目
91242,荒牧町四丁目
6917,飯土井町
83339,池端町
67582,石倉町
675831,石倉町一丁目
675834,石倉町二丁目
67586,石倉町三丁目
67589,石倉町四丁目
67822,石倉町五丁目
6849,石関町
6892,泉沢町
926,市之関町
6853,今井町
67826,岩神町一丁目
67829,岩神町二丁目
67853,岩神町三丁目
67858,岩神町四丁目
68523,笂井町
6882,江木町
6751,江田町
6898,大胡町
67597,大手町一丁目
67598,大手町二丁目
67832,大手町三丁目
67297,大利根町一丁目
67291,大利根町二丁目
67576,大友町一丁目
67579,大友町二丁目
67578,大友町三丁目
9312,大前田町
67824,大渡町一丁目
67815,大渡町二丁目
9221,荻窪町
6854,女屋町
67671,表町一丁目
67672,表町二丁目
9291,柏倉町
6978,粕川町新屋
9313,粕川町稲里
6984,粕川町女渕
69883,粕川町上東田面
6975,粕川町込皆戸
69856,粕川町下東田面
6989,粕川町膳
9324,粕川町月田
9322,粕川町中
937,粕川町中之沢
6987,粕川町西田面
69853,粕川町一日市
6973,粕川町深津
69884,粕川町前皆戸
9351,粕川町室沢
9211,勝沢町
9257,金丸町
9111,上青梨子町
6876,上泉町
6843,上大島町
6895,上大屋町
6796,上沖町
67883,上小出町一丁目
67894,上小出町二丁目
67889,上小出町三丁目
6738,上佐鳥町
67533,上新田町
6846,上長磯町
9132,上細井町
6837,上増田町
68817,亀泉町
6733,亀里町
91264,川端町
91138,川原町
91215,川原町一丁目
9116,川原町二丁目
67257,川曲町
9232,河原浜町
68939,神沢の森
6797,北代田町
83332,清野町
6734,公田町
675533,小相木町
675538,小相木町一丁目
67591,紅雲町一丁目
67593,紅雲町二丁目
67956,幸塚町
6817,後閑町
67917,国領町一丁目
67941,国領町二丁目
67523,後家町
92193,小坂子町
68528,小島田町
6877,小神明町
68783,五代町
68229,駒形町
6825,小屋原町
68166,山王町
68168,山王町一丁目
6824,山王町二丁目
67884,敷島町
6575,下阿内町
67559,下石倉町
68193,下大島町
68932,下大屋町
67939,下沖町
6499,下川町
67869,下小出町一丁目
67893,下小出町二丁目
67895,下小出町三丁目
6814,下佐鳥町
67371,下新田町
6851,下長磯町
6799,下細井町
6831,下増田町
679217,城東町一丁目
67913,城東町二丁目
679211,城東町三丁目
67687,城東町四丁目
67688,城東町五丁目
67839,昭和町一丁目
67862,昭和町二丁目
67865,昭和町三丁目
67554,新前橋町
67914,住吉町一丁目
67915,住吉町二丁目
91273,関根町
91255,関根町一丁目
91254,関根町二丁目
91245,関根町三丁目
67817,総社町一丁目
67842,総社町二丁目
67841,総社町三丁目
67762,総社町四丁目
6779,総社町植野
91134,総社町桜が丘
67761,総社町総社
67785,総社町高井
67782,高井町一丁目
9212,高花台一丁目
9215,高花台二丁目
9252,滝窪町
91279,田口町
67833,千代田町一丁目
679112,千代田町二丁目
679119,千代田町三丁目
676787,千代田町四丁目
676789,千代田町五丁目
68816,堤町
6868,鶴が谷町
6577,鶴光路町
67283,稲荷新田町
6578,徳丸町
68787,鳥取町
6859,富田町
67453,鳥羽町
67811,問屋町一丁目
67814,問屋町二丁目
934,苗ヶ島町
6821,中内町
91238,南橘町
6574,新堀町
6948,西大室町
67936,西片貝町一丁目
68477,西片貝町二丁目
68475,西片貝町三丁目
67696,西片貝町四丁目
67695,西片貝町五丁目
68129,西善町
91262,日輪寺町
6838,二之宮町
67376,橳島町
68456,野中町
6874,端気町
9317,鼻毛石町
9316,馬場町
68571,東上野町
6945,東大室町
6848,東片貝町
9258,東金丸町
68224,東善町
67534,光が丘町
6899,樋越町
67916,日吉町一丁目
67925,日吉町二丁目
67927,日吉町三丁目
67954,日吉町四丁目
68187,広瀬町一丁目
68185,広瀬町二丁目
68191,広瀬町三丁目
952,富士見町赤城山
9193,富士見町石井
9191,富士見町市之木場
9167,富士見町漆窪
9162,富士見町小沢
9241,富士見町小暮
9159,富士見町米野
9161,富士見町田島
9136,富士見町時沢
9129,富士見町原之郷
9156,富士見町引田
9249,富士見町皆沢
91946,富士見町山口
9153,富士見町横室
67658,文京町一丁目
67655,文京町二丁目
67664,文京町三丁目
67665,文京町四丁目
67836,平和町一丁目
67838,平和町二丁目
68122,房丸町
9231,堀越町
68577,堀之下町
67677,本町一丁目
676781,本町二丁目
67681,本町三丁目
67287,前箱田町
67279,前箱田町二丁目
67684,三河町一丁目
67682,三河町二丁目
67931,三俣町一丁目
67934,三俣町二丁目
67953,三俣町三丁目
91212,緑が丘町
67565,南町一丁目
67563,南町二丁目
67648,南町三丁目
67645,南町四丁目
92197,嶺町
6811,宮地町
9296,三夜沢町
6894,茂木町
67494,元総社町
67574,元総社町一丁目
67577,元総社町二丁目
67499,元総社町三丁目
9222,横沢町
6498,横手町
6579,力丸町
9131,龍蔵寺町
6761,六供町
67643,六供町一丁目
67626,六供町四丁目
679183,若宮町一丁目
679189,若宮町二丁目
67942,若宮町三丁目
67945,若宮町四丁目
67521,箱田町
67551,古市町一丁目
67527,古市町二丁目
6754,古市町
