townid,town
8635832,寿町
8635836,黄金町
9425,笠貝島
863559,桜ケ丘
9413,二股島
863542,旭が丘二丁目
863545,旭が丘一丁目
9421,平島
86382,清水町
918,足島
9422,江島
9414,竹浦
86383,宮ケ崎
94111,飯子浜
86369,桐ケ崎
863556,鷲神浜
86331,大石原浜
86353,小乗浜
83998,野々浜
86368,石浜
94177,指ケ浜
94112,塚浜
94171,尾浦
9418,出島
86335,横浦
86361,高白浜
8631,針浜
8639,御前浜
8634,浦宿浜
86384,女川浜
