townid,town
192554,相生町
19817,相淵
18622,相俣
1924617,葵町
18636,赤沢
195225,赤松
192743,秋山町
192918,上土一丁目
192942,上土二丁目
1945,足久保奥組
1946,足久保口組
1925534,東町
19277,安倍口新田
195122,安倍口団地
1924681,安倍町
1924648,安西一丁目
1924566,安西二丁目
1924562,安西三丁目
192452,安西四丁目
192451,安西五丁目
192572,安東一丁目
192574,安東二丁目
192578,安東三丁目
19249343,安東柳町
42352,井川
192844,池ヶ谷
192845,池ヶ谷東
19246142,一番町
192483,井宮町
1927277,伊呂波町
42359,岩崎
192894,牛田
19549,牛妻
1943,内牧
432,有東木
19161,産女
434,梅ヶ島
1924383,梅屋町
192889,漆山
195127,遠藤新田
1924639,追手町
192732,大岩
1924999,大岩一丁目
192814,大岩二丁目
192735,大岩三丁目
192739,大岩四丁目
1924997,大岩町
192495,大岩本町
19249348,大岩宮下町
1924373,大鋸町
19749,大沢
1925579,太田町
19178,大原
1895,大間
19756,奥池ヶ谷
4312,奥仙俣
19722,落合
192555,音羽町
18629,鍵穴
1976,柿島
192489,籠上
192556,春日一丁目
192564,春日二丁目
192567,春日三丁目
192558,春日町
192467,片羽町
192867,加藤島
19543,門屋
1925853,上足洗
1925858,上足洗一丁目
192587,上足洗二丁目
192822,上足洗三丁目
192588,上足洗四丁目
1924643,上桶屋町
19785,上落合
1925823,上沓谷町
1924397,上石町
4239,上坂本
19242694,上新富町
1927674,上伝馬
1949,桂山
192848,唐瀬一丁目
192873,唐瀬二丁目
192871,唐瀬三丁目
192893,川合
192927,川合一丁目
192943,川合二丁目
192945,川合三丁目
1921977,川越町
1924337,川辺町一丁目
1924339,川辺町二丁目
192559,瓦場町
192882,観山
19528,北三丁目
19529,北四丁目
195259,北五丁目
192813,北安東一丁目
192815,北安東二丁目
192818,北安東三丁目
192843,北安東四丁目
192824,北安東五丁目
19562,北沼上
1924564,北番町
1924626,金座町
18917,崩野
1977,口坂本
43131,口仙俣
192596,沓谷
192583,沓谷一丁目
192594,沓谷二丁目
192598,沓谷三丁目
1928326,沓谷四丁目
192914,沓谷五丁目
192912,沓谷六丁目
1924628,車町
1925167,黒金町
1861,黒俣
191998,幸庵新田
1958,郷島
1925182,紺屋町
426,小河内
19718,腰越
1865,小島
19145,小瀬戸
1924296,五番町
1924632,呉服町一丁目
1925178,呉服町二丁目
18394,小布杉
1924364,駒形通一丁目
1924353,駒形通二丁目
1924325,駒形通三丁目
1924322,駒形通四丁目
1921979,駒形通五丁目
1921972,駒形通六丁目
192491,材木町
192423,幸町
1925278,栄町
18667,坂ノ上
18666,坂本
1924326,桜木町
192712,桜町一丁目
192716,桜町二丁目
1924532,三番町
19193,慈悲尾
1924393,七間町
19242934,七番町
192876,芝原
19527,下
192573,城東町
192547,城内町
192726,昭府一丁目
192729,昭府二丁目
192737,昭府町
192852,城北
192851,城北二丁目
1925149,昭和町
192721,新伝馬一丁目
192724,新伝馬二丁目
1927276,新伝馬三丁目
1924351,新通一丁目
1924312,新通二丁目
1924289,新富町一丁目
1924286,新富町二丁目
1924291,新富町三丁目
1924264,新富町四丁目
1924265,新富町五丁目
1924262,新富町六丁目
1918,新間
1924594,神明町
192482,水道町
1924596,末広町
1867,杉尾
1924538,住吉町一丁目
19246148,住吉町二丁目
1924367,駿河町
195236,諏訪
192544,駿府城公園
192545,駿府町
192198,清閑町
195326,瀬名
192982,瀬名一丁目
192984,瀬名二丁目
195322,瀬名三丁目
192987,瀬名四丁目
195324,瀬名五丁目
195353,瀬名六丁目
195352,瀬名七丁目
192953,瀬名川一丁目
192964,瀬名川二丁目
192965,瀬名川三丁目
192955,瀬名中央一丁目
192949,瀬名中央二丁目
192957,瀬名中央三丁目
192958,瀬名中央四丁目
1924931,浅間町一丁目
1924926,浅間町二丁目
1925829,銭座町
192447,千代
191669,千代一丁目
19169,千代二丁目
1924384,大工町
1925434,鷹匠一丁目
1925438,鷹匠二丁目
192546,鷹匠三丁目
191685,建穂
191683,建穂一丁目
191684,建穂二丁目
19712,内匠
192849,岳美
192854,岳美一丁目
4237,田代
192481,辰起町
192859,立石
192419,田町一丁目
192427,田町二丁目
