townid,town
9752975,間之町
97244,赤尾町
9764,浅小井町
9851,安土町石寺
9824,安土町内野
9843,安土町上出
9842,安土町上豊浦
9846,安土町桑実寺
98418,安土町小中
9766,安土町香庄
9763,安土町慈恩寺
9847,安土町下豊浦
9768,安土町常楽寺
9795,安土町大中
98412,安土町中屋
9819,安土町西老蘇
9828,安土町東老蘇
9845,安土町宮津
94875,安養寺町
9755623,生須町
97213,池田本町
9751994,池田町一丁目
9751966,池田町二丁目
975271,池田町三丁目
975248,池田町四丁目
975246,池田町五丁目
975291,為心町上
975286,為心町中
9752886,為心町元
975242,板屋町
975384,市井町
97351,上田町
94798,上野町
94957,上畑町
97526,宇津呂町
975283,魚屋町上
975285,魚屋町中
9752881,魚屋町元
9714,江頭町
9755324,江南町
97552,大杉町
9743,大房町
97227,大森町
9787,沖島町
9762,長田町
8936,小田町
97536,音羽町
9752576,小幡町上
9752814,小幡町中
975375,鍵之手町
9755353,鍛治屋町
9718,加茂町
972115,川原町一丁目
972119,川原町二丁目
975245,北末町
9781,北津田町
9758,北之庄町
975247,北元町
9496,倉橋部町
9739,御所内町
97277,小船木町
97385,金剛寺町
975198,佐久間町
97297,桜宮町
8964,佐波江町
9753746,慈恩寺町上
975377,慈恩寺町中
975533,慈恩寺町元
94796,篠原町一丁目
94799,篠原町二丁目
94877,篠原町三丁目
9784,島町
97118,十王町
975276,正神町
95741,浄土寺町
9788,白王町
97291,白鳥町
9755355,新左衛門町
975163,新栄町
9571,新巻町
975279,新町一丁目
975284,新町二丁目
9752819,新町三丁目
975258,新町四丁目
8963,水茎町
9813,末広町
97389,杉森町
975292,仲屋町上
9752971,仲屋町中
975289,仲屋町元
9732,千僧供町
975534,大工町
9797,大中町
973471,鷹飼町
97378,鷹飼町北一丁目
973748,鷹飼町北二丁目
97611,鷹飼町北三丁目
97299,鷹飼町北四丁目
97375,鷹飼町東一丁目
973742,鷹飼町東二丁目
973476,鷹飼町南一丁目
97293,鷹飼町南三丁目
97268,鷹飼町南四丁目
9756,多賀町
9488,竹町
9715,田中江町
97551,玉木町一丁目
975278,玉木町二丁目
9755318,玉屋町
9811,長光寺町
9733,長福寺町
9772,長命寺町
9749,津田町
97284,土田町
9755624,鉄炮町
97532,出町
97369,友定町
97243,中小森町
9773,中之庄町
9752961,永原町上
9752985,永原町中
9755312,永原町元
97289,中村町
97535,縄手町末
975381,縄手町中
975376,縄手町元
97364,西宿町
975241,西末町
9752987,西畳屋町
97619,西庄町
97373,西本郷町
973724,西本郷町西
973729,西本郷町東
975169,西元町
98158,西生来町
97359,野田町
8938,野村町
9753741,博労町上
9752969,博労町中
975299,博労町元
97534,八幡町
9497,東川町
9755323,東畳屋町
97225,東町
9489,東横関町
97518,日杉町
97264,日吉野町
97517,船木町
975565,船町
97134,古川町
9725,堀上町
9751999,本町一丁目
975274,本町二丁目
975275,本町三丁目
975273,本町四丁目
9752571,本町五丁目
9741,牧町
975194,孫平治町一丁目
975192,孫平治町二丁目
97165,益田町
9731,馬淵町
97119,丸の内町
9783,円山町
97133,緑町一丁目
97136,緑町二丁目
971359,緑町三丁目
971358,緑町四丁目
9757,南津田町
973491,南本郷町一丁目
973494,南本郷町二丁目
973495,南本郷町三丁目
9754,宮内町
98151,武佐町
9717,元水茎町
9751961,元玉屋町
97241,森尻町
97273,八木町
975537,薬師町
97138,柳町一丁目
971621,柳町二丁目
971624,柳町三丁目
973496,若葉町一丁目
973575,若葉町二丁目
973571,若葉町三丁目
973493,若葉町四丁目
97346,若葉町五丁目
9723,若宮町
