townid,town
4357,大城
4359,相又
43568,横根中
4395,大垈
4393,椿草里
4368,樋之上
43673,大島
43677,清子
4396,湯之奥
46331,常葉
5411,杉山
463949,嶺
43898,粟倉
43971,下山
439847,波高島
43987,上之平
439856,下部
46334,清澤
463373,大炊平
463375,岩欠
46361,北川
46367,切房木
463836,熊澤
46395,久保
46396,大山
5417,大磯小磯
54183,根子
54188,折門
5419,八坂
43671,光子沢
43926,大崩
43678,和田
43913,角打
43914,大野
4382,門野
43836,梅平
43834,小田船原
43924,丸滝
43941,波木井
439846,桃ケ窪
439851,川向
43946,帯金
43949,下八木沢
43973,上八木沢
4386,身延
5412,釜額
54144,古関
54148,瀬戸
463691,道
54147,芝草
463698,水船
5415,中ノ倉
46224,梨子
46228,古長谷
46226,江尻窪
46232,遅沢
46239,八日市場
46236,伊沼
46341,切石
46227,福原
46263,夜子沢
46237,中山
46252,矢細工
46344,寺沢
46265,日向南沢
46259,久成
46233,飯富
46353,市之瀬
46319,一色
46314,宮木
46359,車田
46355,三澤
46269,手打沢
46371,西嶋
46292,大塩
46255,平須
43979,大子
46343,上田原
46342,下田原
463831,樋田
46399,山家
