townid,town
5552,阿方
531,朝倉上
5345,朝倉北
5348,朝倉下
5346,朝倉南
556352,旭町一丁目
5563371,旭町二丁目
556332,旭町三丁目
553996,旭町四丁目
561748,旭町五丁目
52979,五十嵐
55641,いこいの丘
55657,石井町一丁目
55681,石井町二丁目
556842,石井町三丁目
556847,石井町四丁目
5567,石井町五丁目
55366,石橋町一丁目
553639,石橋町二丁目
553973,泉川町一丁目
55386,泉川町二丁目
61,今治村
55867,内堀一丁目
558567,内堀二丁目
55855,内堀三丁目
55612,馬越
55376,馬越町一丁目
553786,馬越町二丁目
553782,馬越町三丁目
55375,馬越町四丁目
5832,馬島
564125,枝堀町一丁目
564123,枝堀町二丁目
561794,枝堀町三丁目
564172,恵美須町一丁目
564149,恵美須町二丁目
564158,恵美須町三丁目
5555,延喜
556866,大新田町一丁目
556598,大新田町二丁目
55683,大新田町三丁目
556864,大新田町四丁目
55682,大新田町五丁目
55414,大西町大井浜
5547,大西町九王
5542,大西町紺原
55416,大西町新町
5437,大西町別府
5434,大西町星浦
5517,大西町宮脇
5432,大西町山之内
5439,大西町脇
55919,大浜町一丁目
55942,大浜町二丁目
55945,大浜町三丁目
837,大三島町明日
8341,大三島町台
8228,大三島町浦戸
8295,大三島町大見
8229,大三島町口総
823,大三島町野々江
8299,大三島町肥海
8346,大三島町宮浦
8222,大三島町宗方
5563994,風早町一丁目
556632,風早町二丁目
556634,風早町三丁目
5566296,風早町四丁目
564178,片原町一丁目
556636,片原町二丁目
556638,片原町三丁目
55666,片原町四丁目
556639,片原町五丁目
55374,片山一丁目
55372,片山二丁目
55349,片山三丁目
55357,片山四丁目
553833,河南町一丁目
55359,河南町二丁目
55358,河南町三丁目
55688,鐘場町一丁目
55685,鐘場町二丁目
835,上浦町甘崎
838,上浦町井口
861,上浦町盛
832,上浦町瀬戸
56124,上徳
56151,上徳一丁目
561321,唐子台西一丁目
537987,唐子台西二丁目
537981,唐子台西三丁目
537989,唐子台東一丁目
537983,唐子台東二丁目
53796,唐子台東三丁目
5524,神宮
561754,祇園町一丁目
561742,祇園町二丁目
553939,祇園町三丁目
5413,菊間町池原
5173,菊間町川上
5182,菊間町河之内
5174,菊間町高田
5426,菊間町佐方
5421,菊間町種
4394,菊間町田之尻
4399,菊間町長坂
5149,菊間町中川
4393,菊間町西山
5411,菊間町浜
5184,菊間町松尾
56184,北高下町一丁目
561736,北高下町二丁目
561497,北高下町三丁目
56148,北高下町四丁目
561768,北鳥生町一丁目
561752,北鳥生町二丁目
561727,北鳥生町三丁目
56171,北鳥生町四丁目
553696,北鳥生町五丁目
556679,北浜町
55625,北日吉町一丁目
55621,北日吉町二丁目
55379,北日吉町三丁目
556341,北宝来町一丁目
55626,北宝来町二丁目
556291,北宝来町三丁目
55628,北宝来町四丁目
561283,喜田村
56155,喜田村一丁目
56156,喜田村二丁目
56159,喜田村三丁目
56167,喜田村四丁目
561619,喜田村五丁目
561617,喜田村六丁目
56153,喜田村七丁目
561286,喜田村八丁目
561587,衣干町一丁目
561585,衣干町二丁目
56154,衣干町三丁目
561463,衣干町四丁目
556383,共栄町一丁目
556385,共栄町二丁目
5563884,共栄町三丁目
556621,共栄町四丁目
556619,共栄町五丁目
553985,蔵敷町一丁目
55396,蔵敷町二丁目
55259,クリエイティブヒルズ
5834,来島
553815,鯉池町一丁目
553824,鯉池町二丁目
553822,鯉池町三丁目
55269,小泉一丁目
553474,小泉二丁目
553473,小泉三丁目
55345,小泉四丁目
55346,小泉五丁目
53766,郷桜井一丁目
538182,郷桜井二丁目
538189,郷桜井三丁目
53819,郷桜井四丁目
553929,広紹寺町一丁目
553932,広紹寺町二丁目
553637,郷新屋敷町一丁目
553633,郷新屋敷町二丁目
55339,郷新屋敷町三丁目
55362,郷新屋敷町四丁目
553386,郷新屋敷町五丁目
55643,高地町一丁目
55569,高地町二丁目
553648,郷本町一丁目
553644,郷本町二丁目
55356,郷本町三丁目
55896,小浦町二丁目
55365,郷六ヶ内町一丁目
553619,郷六ヶ内町二丁目
553615,郷六ヶ内町三丁目
556368,黄金町一丁目
564144,黄金町二丁目
564117,黄金町三丁目
564113,黄金町四丁目
