townid,town
52792,青島一丁目
52847,青島二丁目
528443,青島三丁目
528441,青島四丁目
52817,青島五丁目
52818,青島六丁目
52791,青島西一丁目
5276,青島西二丁目
57632,青葉町
57358,旭一丁目
573594,旭二丁目
57361,吾妻町
57159,生目台西一丁目
571553,生目台西二丁目
571557,生目台西三丁目
57152,生目台西四丁目
57127,生目台西五丁目
57163,生目台東一丁目
5713,生目台東二丁目
57129,生目台東三丁目
57164,生目台東四丁目
57165,生目台東五丁目
5797,池内町
58145,一の宮町
57663,浮城町
57364,永楽町
576229,江平中町
57624,江平西一丁目
57652,江平西二丁目
57628,江平東一丁目
57653,江平東二丁目
57626,江平東町
57625,江平町一丁目
573833,老松一丁目
573917,老松二丁目
557,大字赤江
5757,大字跡江
5772,大字有田
57157,大字生目
4996,大字糸原
5743,大字浮田
513,大字内海
812,大字瓜生野
8116,大字大瀬町
5273,大字折生迫
519,大字加江田
517,大字鏡洲
5745,大字柏原
5777,大字金崎
5786,大字上北方
551,大字熊野
5464,大字郡司分
57559,大字小松
822,大字塩路
821,大字島之内
554,大字田吉
4998,大字堤内
54895,大字恒久
4966,大字富吉
4963,大字長嶺
8132,大字新名爪
8138,大字広原
5874,大字芳士
493,大字細江
54925,大字本郷北方
5469,大字本郷南方
4997,大字吉野
57693,大島町
57351,太田一丁目
573199,太田二丁目
573193,太田三丁目
57316,太田四丁目
57511,大塚台西一丁目
57196,大塚台西二丁目
57169,大塚台西三丁目
5727,大塚台東一丁目
57193,大塚台東二丁目
5728,大塚町
57264,大坪町
57234,大坪西一丁目
57226,大坪西二丁目
572623,大坪東一丁目
57238,大坪東二丁目
57235,大坪東三丁目
573778,大橋一丁目
57533,大橋二丁目
57532,大橋三丁目
573279,大淀一丁目
573272,大淀二丁目
57324,大淀三丁目
57313,大淀四丁目
58152,小戸町
57222,薫る坂一丁目
5488,薫る坂二丁目
54386,学園木花台北一丁目
54385,学園木花台北二丁目
54384,学園木花台北三丁目
54349,学園木花台桜一丁目
54344,学園木花台桜二丁目
54371,学園木花台西一丁目
54374,学園木花台西二丁目
54358,学園木花台南一丁目
54357,学園木花台南二丁目
54381,学園木花台南三丁目
573732,上野町
573543,川原町
57538,祇園一丁目
57562,祇園二丁目
57566,祇園三丁目
5759,祇園四丁目
5721,北川内町
57661,北権現町
57375,北高松町
54686,希望ケ丘一丁目
54682,希望ケ丘二丁目
54684,希望ケ丘三丁目
54673,希望ケ丘四丁目
572366,京塚一丁目
572365,京塚二丁目
572363,京塚町
54865,清武町あさひ一丁目
54868,清武町あさひ二丁目
54842,清武町池田台
54846,清武町池田台北
463,清武町今泉
54545,清武町岡一丁目
54544,清武町岡二丁目
54541,清武町岡三丁目
5481,清武町加納
54827,清武町加納一丁目
54828,清武町加納二丁目
54829,清武町加納三丁目
5485,清武町加納四丁目
54861,清武町加納五丁目
5452,清武町木原
54571,清武町正手一丁目
54574,清武町正手二丁目
544,清武町正手三丁目
5458,清武町新町一丁目
5455,清武町新町二丁目
54548,清武町西新町
5471,清武町船引
576171,霧島一丁目
576178,霧島二丁目
57641,霧島三丁目
57644,霧島四丁目
57647,霧島五丁目
54893,源藤町
57256,江南一丁目
57255,江南二丁目
57258,江南三丁目
57254,江南四丁目
57546,小松台北町
57554,小松台西一丁目
57543,小松台西二丁目
57518,小松台西三丁目
57551,小松台東一丁目
57527,小松台東二丁目
575194,小松台東三丁目
575191,小松台南町
57662,権現町
57528,桜ケ丘町
57933,桜町
82513,佐土原町石崎一丁目
825165,佐土原町石崎二丁目
825166,佐土原町石崎三丁目
8197,佐土原町上田島
828,佐土原町下田島
8294,佐土原町下富田
824,佐土原町下那珂
815,佐土原町西上那珂
816,佐土原町東上那珂
8257,佐土原町松小路
57363,潮見町
573799,清水一丁目
573795,清水二丁目
57378,清水三丁目
57678,下北方町
57631,下原町
5818,昭栄町
573259,城ケ崎一丁目
57326,城ケ崎二丁目
57334,城ケ崎三丁目
57332,城ケ崎四丁目
57392,浄土江町
57368,昭和町
58158,新栄町
57654,神宮一丁目
57657,神宮二丁目
57682,神宮町
57648,神宮西一丁目
576723,神宮西二丁目
57655,神宮東一丁目
57658,神宮東二丁目
57659,神宮東三丁目
57636,新城町
5842,新別府町
573723,末広一丁目
573718,末広二丁目
573565,瀬頭一丁目
573596,瀬頭二丁目
573566,瀬頭町
58147,曽師町
57366,大王町
573772,大工一丁目
57299,大工二丁目
57297,大工三丁目
497,高岡町飯田
457,高岡町内山
488,高岡町浦之名
495,高岡町小山田
492,高岡町上倉永
721,高岡町紙屋
483,高岡町五町
4965,高岡町下倉永
494,高岡町高浜
4991,高岡町花見
5811,高洲町
57388,高千穂通一丁目
57389,高千穂通二丁目
573737,高松町
58143,田代町
57346,橘通西一丁目
573733,橘通西二丁目
573841,橘通西三丁目
573874,橘通西四丁目
57621,橘通西五丁目
573547,橘通東一丁目
57381,橘通東二丁目
573842,橘通東三丁目
573873,橘通東四丁目
576224,橘通東五丁目
57341,谷川一丁目
572639,谷川二丁目
572638,谷川三丁目
572653,谷川町三丁目
461918,田野町あけぼの一丁目
461839,田野町あけぼの二丁目
461832,田野町あけぼの三丁目
461911,田野町あけぼの四丁目
453,田野町乙
43,田野町甲
573767,千草町
573763,中央通
5495,月見ケ丘一丁目
54946,月見ケ丘二丁目
54942,月見ケ丘三丁目
54945,月見ケ丘四丁目
54948,月見ケ丘五丁目
549447,月見ケ丘六丁目
549442,月見ケ丘七丁目
573251,恒久一丁目
57322,恒久二丁目
57323,恒久三丁目
57331,恒久四丁目
54998,恒久五丁目
54999,恒久六丁目
549877,恒久南一丁目
549876,恒久南二丁目
54989,恒久南三丁目
54997,恒久南四丁目
57347,鶴島一丁目
57269,鶴島二丁目
57292,鶴島三丁目
57338,出来島町
573175,天満一丁目
573148,天満二丁目
573142,天満三丁目
57239,天満町
54653,東宮一丁目
54655,東宮二丁目
57612,中津瀬町
58142,中西町
573423,中村西一丁目
573182,中村西二丁目
573127,中村西三丁目
57343,中村東一丁目
573191,中村東二丁目
573128,中村東三丁目
58473,波島一丁目
5844,波島二丁目
57613,西池町
57623,錦本町
573869,錦町
573744,西高松町
57931,花ケ島町
576153,花殿町
57252,花山手西一丁目
57227,花山手西二丁目
572627,花山手東一丁目
57253,花山手東二丁目
57229,花山手東三丁目
57616,原町
581548,稗原町
57698,東大宮一丁目
57932,東大宮二丁目
58477,東大宮三丁目
57696,東大宮四丁目
57328,東大淀一丁目
57321,東大淀二丁目
581542,日ノ出町
57385,広島一丁目
573861,広島二丁目
57259,福島町
572656,福島町一丁目
572655,福島町二丁目
57267,福島町三丁目
576159,船塚一丁目
57618,船塚二丁目
57645,船塚三丁目
5479,古城町
5794,平和が丘北町
5783,平和が丘西町
5791,平和が丘東町
573831,別府町
57367,堀川町
54923,本郷一丁目
54689,本郷二丁目
54688,本郷三丁目
57362,前原町
57348,松橋一丁目
573714,松橋二丁目
57355,松山一丁目
57353,松山二丁目
54679,まなび野一丁目
54675,まなび野二丁目
54672,まなび野三丁目
576222,丸島町
576271,丸山一丁目
576278,丸山二丁目
5812,港一丁目
58156,港二丁目
58159,港三丁目
58134,港東一丁目
58135,港東二丁目
5816,港東三丁目
5795,南方町
573743,南高松町
57683,南花ケ島町
57311,南町三丁目
573919,宮崎駅東一丁目
57394,宮崎駅東二丁目
57397,宮崎駅東三丁目
57382,宮田町
54985,宮の元町
57395,宮脇町
5871,村角町
573728,元宮町
57634,柳丸町
576726,矢の先町
57398,大和町
5817,吉村町
573429,淀川一丁目
573187,淀川二丁目
573173,淀川三丁目
57614,和知川原一丁目
57536,和知川原二丁目
57535,和知川原三丁目
5873,山崎町
5849,阿波岐原町
