townid,town
732,網野町浅茂川
4989,網野町網野
4964,網野町生野内
731,網野町磯
8115,網野町尾坂
7339,網野町掛津
4971,網野町木津
4924,網野町切畑
4991,網野町公庄
495,網野町郷
7334,網野町小浜
4977,網野町塩江
4998,網野町島津
4987,網野町下岡
4981,網野町新庄
4986,網野町高橋
4868,網野町俵野
4996,網野町仲禅寺
489,網野町浜詰
494,網野町日和田
4865,網野町溝野
814,網野町三津
5732,大宮町明田
5818,大宮町五十河
5448,大宮町奥大野
4663,大宮町上常吉
5739,大宮町久住
5476,大宮町口大野
5726,大宮町河辺
5445,大宮町下常吉
5816,大宮町新宮
5488,大宮町周枳
5478,大宮町善王寺
545,大宮町谷内
5577,大宮町延利
5467,大宮町三重
5482,大宮町三坂
549,大宮町森本
4736,久美浜町
4585,久美浜町芦原
4821,久美浜町海士
4591,久美浜町安養寺
4559,久美浜町出角
4534,久美浜町市野々
4558,久美浜町市場
4834,久美浜町壱分
4851,久美浜町浦明
4678,久美浜町円頓寺
4826,久美浜町大井
4769,久美浜町大向
4494,久美浜町奥馬地
4854,久美浜町葛野
4555,久美浜町金谷
48554,久美浜町鹿野
4767,久美浜町蒲井
484,久美浜町神崎
4731,久美浜町神谷
4498,久美浜町口馬地
45982,久美浜町郷
4489,久美浜町河梨
4816,久美浜町甲山
456,久美浜町小桑
4579,久美浜町坂井
4912,久美浜町坂谷
4672,久美浜町佐野
4856,久美浜町三分
4584,久美浜町島
4539,久美浜町尉ケ畑
4549,久美浜町新庄
4546,久美浜町須田
4829,久美浜町関
45988,久美浜町竹藤
4586,久美浜町谷
4575,久美浜町栃谷
4576,久美浜町友重
4589,久美浜町永留
4911,久美浜町長野
4582,久美浜町新谷
4832,久美浜町女布
4594,久美浜町野中
4588,久美浜町橋爪
4551,久美浜町畑
48553,久美浜町平田
464,久美浜町二俣
452,久美浜町布袋野
4573,久美浜町品田
4597,久美浜町丸山
4493,久美浜町三谷
4765,久美浜町湊宮
4917,久美浜町三原
4813,久美浜町油池
8138,丹後町相川谷
8256,丹後町碇
8273,丹後町井谷
8169,丹後町一段
8156,丹後町岩木
8279,丹後町上野
8283,丹後町上山
8241,丹後町大石
8154,丹後町大山
8289,丹後町尾和
8247,丹後町遠下
8287,丹後町久僧
8249,丹後町鞍内
8242,丹後町神主
8196,丹後町此代
8137,丹後町是安
8243,丹後町小脇
8129,丹後町成願寺
85,丹後町袖志
8157,丹後町間人
818,丹後町竹野
8251,丹後町竹久僧
8285,丹後町谷内
8163,丹後町力石
8151,丹後町徳光
8272,丹後町中野
8288,丹後町中浜
8257,丹後町畑
8191,丹後町筆石
8275,丹後町平
8159,丹後町宮
8155,丹後町三宅
8254,丹後町三山
8167,丹後町矢畑
8161,丹後町吉永
4966,峰山町赤坂
5719,峰山町荒山
4968,峰山町石丸
49396,峰山町泉
493986,峰山町御旅
496319,峰山町織元
496352,峰山町上
5717,峰山町光明寺
4668,峰山町五箇
4937,峰山町小西
496323,峰山町呉服
493987,峰山町堺
49638,峰山町四軒
49399,峰山町白銀
5724,峰山町新町
5741,峰山町杉谷
5714,峰山町菅
5742,峰山町丹波
493985,峰山町千歳
5743,峰山町内記
5711,峰山町長岡
493988,峰山町浪花
4931,峰山町二箇
4929,峰山町西山
4934,峰山町新治
5771,峰山町橋木
468,峰山町久次
496322,峰山町富貴屋
496358,峰山町不断
496313,峰山町古殿
465,峰山町鱒留
496328,峰山町室
4938,峰山町安
5745,峰山町矢田
49634,峰山町吉原
8121,弥栄町井辺
5755,弥栄町芋野
5775,弥栄町木橋
8116,弥栄町国久
8122,弥栄町黒部
8125,弥栄町小田
587,弥栄町須川
578,弥栄町堤
576,弥栄町等楽寺
8112,弥栄町鳥取
821,弥栄町野中
5797,弥栄町船木
5791,弥栄町溝谷
5754,弥栄町吉沢
5773,弥栄町和田野
