townid,town
283,大字秋
2821,大字出井
38,大字伊保田
299,大字浮島
376,大字内入
34,大字沖家室島
279,大字笠佐島
2826,大字家房
297,大字久賀
3757,大字神浦
3758,大字小泊
2875,大字小松
2871,大字小松開作
3711,大字地家室
2847,大字志佐
2955,大字土居
293,大字外入
291,大字西安下庄
3715,大字西方
2876,大字西三蒲
2849,大字西屋代
2951,大字東安下庄
288,大字東三蒲
285,大字東屋代
298,大字日前
2841,大字日見
3742,大字平野
2824,大字戸田
522,大字椋野
3748,大字森
3793,大字油宇
2956,大字油良
281,大字横見
3746,大字和佐
3795,大字和田
