townid,town
546,大字赤岩
4389,大字厚貝
45,大字穴田
514,大字新井
194,大字安源寺
5138,大字一本木
578,大字岩井
277,大字岩船
185,大字牛出
195,大字江部
434,大字大俣
5415,大字笠原
198,大字片塩
518,大字金井
42,大字上今井
186,大字草間
197,大字栗林
554,大字越
276,大字小田中
166,大字桜沢
281,大字更科
271,大字篠井
273,大字新野
193,大字新保
576,大字田上
52,大字竹原
182,大字立ケ花
4383,大字田麦
464,大字豊津
48,大字永江
5133,大字中野
433,大字七瀬
274,大字西条
551,大字深沢
466,大字壁田
5411,大字間長瀬
254,大字間山
24,大字三ツ和
548,大字柳沢
511,大字吉田
515,大字若宮
27951,小舘
27958,諏訪町
2786,中央一丁目
27944,中央二丁目
2789,中央三丁目
27948,中央四丁目
275,南宮
2784,西一丁目
2788,西二丁目
2796,東山
2782,三好町一丁目
2783,三好町二丁目
