townid,town
94442217,曙町
94418879,旭町
94418975,愛宕町
94442346,吾妻町
94417684,育良町一丁目
94417686,育良町二丁目
9441769,育良町三丁目
94411,伊豆木
94442254,今宮町一丁目
94442249,今宮町二丁目
94442276,今宮町三丁目
9444255,今宮町四丁目
94443113,江戸浜町
94442361,江戸町一丁目
94442337,江戸町二丁目
94442338,江戸町三丁目
94442336,江戸町四丁目
94418977,扇町
94418988,追手町一丁目
9441899,追手町二丁目
9441889,大久保町
86639,大瀬木
94442227,大通一丁目
94442221,大通二丁目
944415,大休
94442323,長姫町
9441846,鼎一色
9441884,鼎上茶屋
9441881,鼎上山
944412,鼎切石
94418961,鼎下茶屋
9441971,鼎下山
9441886,鼎中平
944182,鼎名古熊
94419751,鼎西鼎
944198,鼎東鼎
8666,上飯田
944151,上川路
944433,上郷飯沼
94444,上郷黒田
944199,上郷別府
9441841,上殿岡
94421,上久堅
9419,上村
94412,川路
944411,北方
944155,桐林
944423243,銀座一丁目
94442321,銀座二丁目
944423133,銀座三丁目
944189798,銀座四丁目
944189791,銀座五丁目
944144,久米
944167,毛賀
94442365,小伝馬町一丁目
9444314,小伝馬町二丁目
94442359,桜町一丁目
94442383,桜町二丁目
94446,座光寺
944152,嶋
941787,下瀬
944181,下殿岡
944139,下久堅稲葉
9441636,下久堅柿野沢
9441637,下久堅小林
944271,下久堅下虎岩
9441683,下久堅知久平
944162,下久堅南原
9444163,正永町一丁目
9444162,正永町二丁目
94442348,鈴加町一丁目
94442381,鈴加町二丁目
94442173,砂払町一丁目
94442177,砂払町二丁目
9444139,砂払町三丁目
94442622,諏訪町
94442367,大王路一丁目
9444239,大王路二丁目
94442625,大門町
94442259,高羽町一丁目
94442292,高羽町二丁目
94442295,高羽町三丁目
9444228,高羽町四丁目
9444252,高羽町五丁目
9444253,高羽町六丁目
9444244,滝の沢
866365,竹佐
944159,駄科
944134,龍江
94177,立石
94442322,主税町
94418978,知久町一丁目
94442311,知久町二丁目
944422353,知久町三丁目
944422354,知久町三丁目大横
94442229,知久町四丁目
944422357,知久町四丁目大横
94179,千栄
944423247,中央通り一丁目
94442319,中央通り二丁目
94442341,中央通り三丁目
94442266,中央通り四丁目
94185,千代
94442328,伝馬町一丁目
94442356,伝馬町二丁目
9441978,東栄町
94442358,東新町一丁目
94442385,東新町二丁目
94442344,東和町一丁目
944422696,東和町二丁目
944422698,東和町三丁目
944423138,通り町一丁目
94442315,通り町二丁目
944423171,通り町三丁目
94442239,通り町三丁目大横
94442261,通り町四丁目
944422389,通り町四丁目大横
944153,時又
944189848,常盤町
94424,虎岩
94442334,仲ノ町
94442329,仲ノ町一丁目
944164,長野原
944146,中村
94442372,錦町一丁目
94442376,錦町二丁目
94443111,二本松
94442251,白山町一丁目
94442245,白山町二丁目
9444219,白山町三丁目東
9444216,白山町三丁目南
94442211,白山通り一丁目
9444213,白山通り二丁目
9444212,白山通り三丁目
86633,箱川
94441351,羽場赤坂
9444131,羽場上河原
94441359,羽場権現
94418874,羽場坂町
94442152,羽場町一丁目
94442154,羽場町二丁目
9444214,羽場町三丁目
9444133,羽場町五丁目
9444136,羽場仲畑
94442326,馬場町一丁目
94442331,馬場町二丁目
94419777,馬場町三丁目
94443115,浜井町
94419772,東中央通
94419759,東中央通五丁目
94442312,本町一丁目
94442314,本町二丁目
94442236,本町三丁目
944422383,本町三丁目大横
94442237,本町四丁目
944422382,本町四丁目大横
9441959,松尾上溝
9441966,松尾新井
9441685,松尾清水
944192,松尾城
944183,松尾代田
9441962,松尾寺所
9441945,松尾常盤台
9441954,松尾久井
94442316,松尾町一丁目
94442318,松尾町二丁目
944423177,松尾町三丁目
94442262,松尾町四丁目
9441952,松尾水城
944193,松尾明
9444211,松川町
94442277,丸山町一丁目
9444218,丸山町二丁目
9444243,丸山町三丁目
9444249,丸山町四丁目
94418968,水の手町
944149,三日市場
9427,南信濃木沢
94155,南信濃南和田
94153,南信濃八重河内
9416,南信濃和田
944189843,南常盤町
94442226,箕瀬町一丁目
94418889,箕瀬町二丁目
94418885,箕瀬町三丁目
9444264,宮ノ上
94442378,宮の前
94442253,元町
866367,山本
9441942,八幡町
