townid,town
885,相内
595135,字旭町
592798,字東町
595144,字幾島町
59551,字幾世森
592775,字岩木町
59247,字不魚住
595131,字大町
595119,字柏原町
59284,字鎌谷町
59512,字上平井町
59285,字烏森
592779,字川端町
59248,字栄町
59516,字敷島町
59527,字下平井町
592783,字新町
5943,字新宮町
595148,字末広町
594628,字蘇鉄
59273,字田町
595116,字寺町
59515,字中平井町
595117,字錦町
592794,字布屋町
594625,字芭蕉
592721,字蓮沼
59522,字一ツ谷
59524,字雛田
592788,字本町
592727,字元町
592781,字柳町
592792,字弥生町
884,磯松
5699,大字浅井
678,大字飯詰
59291,大字石岡
5964,大字一野坪
5934,大字稲実
5921,大字姥萢
5694,大字梅田
5953,大字漆川
5983,大字沖飯詰
5963,大字金山
6724,大字神山
5926,大字唐笠柳
5976,大字川山
6454,大字高野
5918,大字小曲
5984,大字桜田
5992,大字下岩崎
59466,大字新宮
5971,大字高瀬
5948,大字田川
59558,大字太刀打
5973,大字種井
6476,大字俵元
8313,大字鶴ケ岡
6755,大字戸沢
6479,大字豊成
6471,大字中泉
8322,大字長富
5957,大字長橋
5698,大字七ツ館
6721,大字野里
6481,大字羽野木沢
6488,大字原子
5998,大字毘沙門
5697,大字広田
59296,大字吹畑
6474,大字福山
673,大字前田野目
6752,大字松野木
5933,大字水野尾
59241,大字湊
8314,大字藻川
6458,大字持子沢
5937,大字米田
886,太田
91,金木町
8326,金木町嘉瀬
8383,金木町川倉
8347,金木町神原
836,金木町喜良市
833,金木町中柏木
8381,金木町藤枝
8348,金木町蒔田
59281,中央一丁目
59257,中央二丁目
59254,中央三丁目
59258,中央四丁目
592518,中央五丁目
592512,中央六丁目
59286,松島町一丁目
592971,松島町二丁目
592974,松島町三丁目
592988,松島町四丁目
59299,松島町五丁目
592985,松島町六丁目
592981,松島町七丁目
59295,松島町八丁目
592266,みどり町一丁目
59225,みどり町二丁目
592261,みどり町三丁目
59223,みどり町四丁目
59231,みどり町五丁目
59232,みどり町六丁目
56897,みどり町七丁目
56899,みどり町八丁目
59518,若葉一丁目
59517,若葉二丁目
5954,若葉三丁目
87,脇元
84,十三
