townid,town
4162,字朝日町
412295,字愛宕町
412255,字上野町
4161,字鰔川町
412258,字姥神町
41377,字越前町
41261,字大澗町
4163,字小黒部町
41352,字尾山町
41222,字海岸町
178883,字柏町
41224,字鴎島
41538,字五厘沢町
4122938,字新栄町
412261,字新地町
412234,字陣屋町
1789,字砂川
41267,字田沢町
4122527,字津花町
1798,字椴川町
4134,字泊町
4122936,字豊川町
41379,字中網町
412268,字中歌町
41232,字萩ノ岱
4122529,字橋本町
41237,字東山
4131,字桧岱
41291,字伏木戸町
412264,字本町
41231,字円山
41532,字水堀町
412265,字緑丘
412232,字南が丘
178889,字南浜町
412253,字茂尻町
41295,字柳崎町
