townid,town
56551,朝日町
55621,泉町
5641,上野町
618,大字大曽根浦
64,大字天満浦
55627,大字中井浦
54,大字南浦
617,大字向井
616,大字行野浦
5539,大滝町
31,梶賀町
24,賀田町
5613,桂ヶ丘
5657,北浦町
5681,北浦西町
5682,北浦東町
38,九鬼町
563,国市松泉町
5647,倉ノ谷町
5617,小川西町
5619,小川東町
5644,古戸町
5563,古戸野町
345,小脇町
56469,栄町
5672,坂場町
5671,坂場西町
352,盛松
5675,座ノ下町
5536,新田町
56484,末広町
695,須賀利町
56523,瀬木山町
22,曽根町
56435,中央町
5654,中井町
5627,中川
56461,中村町
37,名柄町
56431,南陽町
56483,野地町
358,早田町
56525,林町
5534,光ヶ丘
263,古江町
5684,馬越町
346,三木浦町
267,三木里町
56558,港町
5673,宮ノ上町
5625,矢浜一丁目
5621,矢浜二丁目
5623,矢浜三丁目
5385,矢浜四丁目
5384,矢浜岡崎町
5386,矢浜大道
5382,矢浜真砂
