townid,town
835271,南方町二ツ橋
83466,南方町鶴江
823932,南方町茶臼森
83244,南方町風張
831347,南方町砥落
83522,南方町上ケ戸
83421,南方町沢田待井
831687,南方町内鰐丸
832824,南方町堂地前
82635,南方町一網
83434,南方町鶴代
83425,南方町梨木待井
83297,南方町大涌戸
832825,南方町仕込
83194,南方町原浦
59267,豊里町元上谷地
832746,南方町下原前
83182,南方町山成浦
59637,豊里町十丁田
67147,豊里町内町浦
831597,南方町大村
82139,南方町中沼崎
83139,南方町上砥落
82332,南方町成田
835235,南方町天沼
83126,南方町下砥落
67148,豊里町南町浦
831967,南方町原屋敷
83285,南方町真ケ沼
67596,豊里町福沢
8623,石越町
82269,南方町新尼池下
832495,南方町大嶽山
82261,南方町畑岡下
823371,南方町樟土手外
832747,南方町原
82632,南方町新二網
823681,南方町高石前
831964,南方町中原
832291,南方町室田
83147,南方町茶臼森前
82245,南方町間内下
82241,南方町柳沢前
83525,南方町瀬ノ淵
83243,南方町ぜん荷前
83165,南方町松葉
831918,南方町上原
59331,豊里町新剣先
832461,南方町大嶽
83518,南方町小山
82284,南方町横代
832466,南方町本郷大嶽
83263,南方町瀬川
67174,豊里町葭立
83276,南方町大門
83221,南方町十二山
83273,南方町堀切
823935,南方町中高石浦
59354,豊里町内一番江
82166,南方町柳沢
82294,南方町上堤
83535,南方町新寺袋
82217,南方町沼崎下
831914,南方町大村前
832496,南方町館
823687,南方町中高石
83125,南方町米袋浦
832298,南方町室田浦
674441,豊里町沼田
82358,南方町大西
67185,豊里町横町
59355,豊里町東二番江
67189,豊里町新町
82382,南方町外浦
831685,南方町松葉前
671983,豊里町下古屋
82137,南方町上沼崎
9144,中田町宝江森
82265,南方町堤田
83153,南方町松葉表
82227,南方町大平前
82373,南方町長根
822479,南方町間内前
823378,南方町樟
83171,南方町西山成
59633,豊里町北谷地
831599,南方町新大村前
83429,南方町板倉
831346,南方町田中浦
83148,南方町八の森
67514,豊里町加々巻
83436,南方町中山
675173,豊里町小巻
83517,南方町新中山
83124,南方町米袋
67184,豊里町浦軒
83167,南方町鰐丸
82369,南方町高石
671987,豊里町土手下
823669,南方町山成前
834222,南方町松島屋敷
835275,南方町内ノ目
82312,南方町一ノ曲
832374,南方町新田
67172,豊里町下屋浦
83534,南方町寺袋
59618,豊里町下九
67432,豊里町八反
8331,南方町川前
82615,南方町新須崎
82292,南方町尼池下
59335,豊里町東細沼
67188,豊里町上町裏
83519,南方町河面
82338,南方町大袋浦
83223,南方町新田前
67436,豊里町芝崎
5969,豊里町久寿田前
83179,南方町戸根屋敷
59362,豊里町北細沼
59344,豊里町新長前
82335,南方町大袋
6757,豊里町大沢沼田
67413,豊里町南待井下
83239,南方町山崎
59396,豊里町下葭立
83226,南方町南大畑前
67433,豊里町新加々巻
67179,豊里町五反田
67454,豊里町中沼田
83222,南方町新十二山
59391,豊里町切津
59393,豊里町町浦
67838,豊里町上下沼
5964,豊里町内畑
82347,南方町狼欠裏
83121,南方町若狭前
83157,南方町山成
67449,豊里町上沼田
67826,豊里町沢尻
59371,豊里町外四番江
83163,南方町細川浦
56998,豊里町南細沼
83428,南方町新板倉後
82266,南方町狼掛
59334,豊里町西細沼
59613,豊里町西七番江
67544,豊里町芝下
83258,南方町新堂地前
83247,南方町細川
59379,豊里町西六番江
59358,豊里町東三番江
83245,南方町南沢
83122,南方町米袋前
82381,南方町苔野谷地
59373,豊里町外三番江
67589,豊里町山根前
83438,南方町新待井
832373,南方町蛇沼
83111,南方町新成田
83268,南方町大畑
59616,豊里町西八番江
59629,豊里町南前田
82355,南方町大阪前
59367,豊里町南切津
82633,南方町青島屋敷
822477,南方町間内
67586,豊里町白鳥浦
6786,豊里町境沢
82296,南方町大上
83284,南方町新真ケ沼
83275,南方町宿畑
82391,南方町後高石
59364,豊里町東二ツ屋
59363,豊里町北待井下
67435,豊里町長根前
5932,豊里町鏡形
82264,南方町畑岡
83516,南方町鴻ノ木
8345,南方町新作田
67835,豊里町田待
83169,南方町館浦
82256,南方町青笹
67421,豊里町東待井下
59539,豊里町内田
67175,豊里町上屋浦
82255,南方町新角欠前
82378,南方町新平貝
83295,南方町新内袋
834228,南方町新沢田
83212,南方町梶沼
59382,豊里町東四番江
83133,南方町梶沼川前
67415,豊里町寿崎前
83514,南方町王塚
67456,豊里町保手
59336,豊里町新細沼
83278,南方町峯前
83236,南方町東川前
83193,南方町原前
83413,南方町沢田屋敷
82218,南方町新沼崎下
67581,豊里町白鳥前
83435,南方町後屋敷待井
59374,豊里町外五番江
83248,南方町南細川
59611,豊里町外七番江
82339,南方町新大袋浦
67461,豊里町鳥越
8354,南方町新島前
59346,豊里町外一番江
67548,豊里町大沢谷岐
59538,豊里町十五貫谷地
67914,豊里町迫
59663,豊里町唐崎
83232,南方町新川前
67584,豊里町十二沢
83173,南方町西山成前
59342,豊里町長前
83187,南方町沢田前
59377,豊里町外六番江
67423,豊里町小口前
83225,南方町新養賢堂
83259,南方町堂地
82374,南方町板ケ沢
82272,南方町下新山
83116,南方町新若狭前
83162,南方町新松葉表
67597,豊里町土府
5965,豊里町前田
82291,南方町尼池
823661,南方町新高石前
82533,南方町下平貝
59614,豊里町外八番江
67416,豊里町下沼田
82257,南方町大森前
59627,豊里町西前田
674447,豊里町愛宕下
59385,豊里町下大崎
82211,南方町沼崎前
67912,豊里町佐野
5956,豊里町十五貫
83432,南方町新鶴代
82285,南方町銭金壇
83242,南方町新大嶽前
67583,豊里町白鳥
82246,南方町大平
83174,南方町新高石浦
83253,南方町南大畑浦
67145,豊里町七ツ塚
58896,南方町新大埣
