townid,town
4359,大字家野
43689,大字板知屋
43679,大字市浜
43839,大字稲田
4391,大字井村
43687,大字臼杵
436788,大字江無田
43695,大字大泊
43927,大字大野
43925,大字大浜
4353,大字乙見
43683,大字海添
43567,大字掻懐
43696,大字風成
4382,大字久木小野
4398,大字佐志生
43565,大字左津留
43953,大字下ノ江
43833,大字末広
43921,大字諏訪
43952,大字田井
43561,大字高山
4386,大字岳谷
4355,大字武山
43852,大字田尻
436783,大字戸室
43583,大字中臼杵
43563,大字中尾
43929,大字中津浦
43684,大字二王座
43648,大字野田
4337,大字東神野
5147,大字深江
43644,大字深田
43681,大字福良
4394,大字藤河内
43674,大字前田
43647,大字望月
43589,大字吉小野
4318,野津町大字秋山
43219,野津町大字岩屋
43439,野津町大字烏嶽
43528,野津町大字老松
43281,野津町大字王子
43272,野津町大字落谷
4326,野津町大字垣河内
43287,野津町大字亀甲
43437,野津町大字西寒田
43211,野津町大字白岩
4324,野津町大字清水原
43463,野津町大字千塚
4325,野津町大字泊
4329,野津町大字西神野
43156,野津町大字西畑
43274,野津町大字野津市
43525,野津町大字八里合
43199,野津町大字原
4313,野津町大字東谷
43289,野津町大字福良木
43431,野津町大字藤小野
43193,野津町大字前河内
43518,野津町大字都原
43512,野津町大字宮原
43276,野津町大字山頭
43426,野津町大字柚野木
43191,野津町大字吉田
