townid,town
3784599,旭一丁目
37845968,旭二丁目
37845943,有吉町一丁目
37845952,有吉町二丁目
37845961,有吉町三丁目
378175,大字荒武
378176,大字岩爪
378437,大字岡富
61132,大字尾八重
377662,大字加勢
37795,大字片内
37842,大字鹿野田
61128,大字上揚
37762,大字上三財
37844,大字清水
378431,大字黒生野
378198,大字現王島
37759,大字寒川
37763,大字下三財
61129,大字銀鏡
37873,大字茶臼原
3784836,大字調殿
3784585,大字妻
378485,大字童子丸
37841,大字藤田
378179,大字都於郡町
61131,大字中尾
61123,大字八重
377663,大字平郡
37874,大字穂北
37846,大字右松
37871,大字南方
37792,大字三納
37847,大字三宅
37739,大字山田
37845941,小野崎一丁目
3784591,小野崎二丁目
37848313,上町一丁目
37848319,上町二丁目
37845974,桜川町一丁目
37845947,桜川町二丁目
37845927,下妻
37845959,白馬町
3784826,新町一丁目
3784829,新町二丁目
3784589,聖陵町一丁目
37845864,聖陵町二丁目
37845954,中央町一丁目
37845958,中央町二丁目
37845949,妻町一丁目
37845981,妻町二丁目
37845976,妻町三丁目
37845985,水流崎町
37848322,中妻一丁目
37848328,中妻二丁目
37845921,右松一丁目
3784593,右松二丁目
3784567,右松三丁目
3784568,右松四丁目
3784569,右松五丁目
37845977,御舟町一丁目
37845869,御舟町二丁目
