townid,town
51893,赤羽根
58,大字上諏訪
433,大字湖南
516,大字四賀
435,大字豊田
512,大字中洲
54433,大手一丁目
54274,大手二丁目
5429,岡村一丁目
543,岡村二丁目
513,沖田町一丁目
287,沖田町二丁目
2796,沖田町三丁目
27989,沖田町四丁目
27982,沖田町五丁目
5479,大和一丁目
5484,大和二丁目
5481,大和三丁目
4633,上川一丁目
5175,上川二丁目
5181,上川三丁目
5475,湖岸通り一丁目
5448,湖岸通り二丁目
5446,湖岸通り三丁目
54437,湖岸通り四丁目
5417,湖岸通り五丁目
5425,小和田
5424,小和田南
4631,渋崎
5423,清水一丁目
51898,清水二丁目
5188,清水三丁目
5179,城南一丁目
5187,城南二丁目
54275,末広
5171,杉菜池
5451,諏訪一丁目
5428,諏訪二丁目
5415,高島一丁目
5414,高島二丁目
4636,高島三丁目
5178,高島四丁目
2792,南町
5426,元町
5457,湯の脇一丁目
5454,湯の脇二丁目
