townid,town
645,浮羽町朝田
53,浮羽町妹川
566,浮羽町浮羽
635,浮羽町小塩
673,浮羽町高見
39,浮羽町田篭
563,浮羽町流川
37,浮羽町新川
648,浮羽町西隈上
649,浮羽町東隈上
672,浮羽町古川
658,浮羽町三春
655,浮羽町山北
559,吉井町
582,吉井町生葉
584,吉井町江南
565,吉井町清瀬
647,吉井町桜井
551,吉井町鷹取
594,吉井町橘田
5929,吉井町千年
5696,吉井町徳丸
552,吉井町富永
587,吉井町長栖
583,吉井町新治
5924,吉井町福永
553,吉井町福益
5694,吉井町宮田
561,吉井町屋部
586,吉井町八和田
568,吉井町若宮
