townid,town
375233,伊勢ケ浜
37461,上町
375186,江良町一丁目
37519,江良町二丁目
375183,江良町三丁目
375247,江良町四丁目
3716,大字財光寺
37198,大字財光寺往還町
37194,大字財光寺沖町
266,大字幸脇
296,大字塩見
299,大字富高
3758,大字日知屋
3756,大字日知屋古田町
269,大字平岩
376,大字細島
37851,梶木町一丁目
37854,梶木町二丁目
37469,亀崎一丁目
374923,亀崎二丁目
37493,亀崎三丁目
37571,亀崎四丁目
374955,亀崎西一丁目
37496,亀崎西二丁目
375729,亀崎東一丁目
375727,亀崎東二丁目
37574,亀崎東三丁目
37575,亀崎東四丁目
37579,亀崎東五丁目
374648,北町
37465,北町一丁目
37468,北町二丁目
374927,北町三丁目
374916,迎洋園一丁目
374915,迎洋園二丁目
375171,新生町一丁目
375173,新生町二丁目
37527,曽根町一丁目
37528,曽根町二丁目
37529,曽根町三丁目
375379,曽根町四丁目
37732,大王町一丁目
37814,大王町二丁目
37733,大王町三丁目
37811,大王町四丁目
374995,大王町五丁目
374992,大王町六丁目
374383,高砂町
3759,竹島町
37462,鶴町一丁目
374662,鶴町二丁目
37544,鶴町三丁目
24,東郷町下三ケ
254,東郷町坪谷
268,東郷町山陰乙
2822,東郷町山陰己
2869,東郷町山陰庚
253,東郷町山陰甲
283,東郷町山陰辛
259,東郷町山陰丁
291,東郷町山陰丙
258,東郷町山陰戊
375437,永江町一丁目
37542,永江町二丁目
375433,永江町三丁目
375268,中堀町一丁目
375263,中堀町二丁目
37531,中堀町三丁目
374373,中町
375258,浜町一丁目
375253,浜町二丁目
375234,浜町三丁目
374389,原町一丁目
37439,原町二丁目
375177,原町三丁目
375179,原町四丁目
37429,春原町一丁目
3745,春原町二丁目
37422,比良町一丁目
371899,比良町二丁目
371893,比良町三丁目
37188,比良町四丁目
37187,比良町五丁目
375372,平野町一丁目
37534,平野町二丁目
374957,不動寺
3782,船場町
374379,本町
37434,南町
265,美々津町
374643,都町
374668,向江町一丁目
37547,向江町二丁目
37432,山下町一丁目
375246,山手町
2864,東郷町迫野内
2829,東郷町八重原
