townid,town
16633561,岩川
166335831,江地
16633619,大蕨岡
16633645,小原田
16633643,鹿野沢
16633627,上蕨岡
16633589,北目
16633563,小松
16633556,庄泉
1663368,白井新田
16633588,菅里
16633669,杉沢
1663383,直世
1663391,当山
1663359,富岡
16633539,豊岡
1663367,野沢
1663354,比子
1663394,吹浦
16633554,藤崎
16633559,増穂
166335839,宮田
16633568,遊佐
244117,吉出
