townid,town
2658,丸山一丁目
2583,鷺宮五丁目
2332,南台四丁目
2329,弥生町六丁目
3157,本町二丁目
3142,弥生町三丁目
3114,南台二丁目
3117,弥生町四丁目
2331,南台五丁目
2335,南台三丁目
3187,東中野二丁目
3158,本町一丁目
3182,中央一丁目
2369,本町四丁目
2367,本町六丁目
3143,弥生町一丁目
3118,南台一丁目
3148,本町三丁目
3173,中央二丁目
2338,弥生町五丁目
2399,中野二丁目
3188,東中野一丁目
3422,東中野四丁目
34317,東中野五丁目
3145,弥生町二丁目
2366,本町五丁目
3178,中野一丁目
2392,中央五丁目
2393,中央四丁目
3171,中央三丁目
3416,上高田一丁目
2628,野方二丁目
2394,中野三丁目
3412,中野六丁目
3421,東中野三丁目
2625,野方一丁目
2631,中野四丁目
2633,中野五丁目
3419,上高田四丁目
3442,上高田五丁目
2639,新井五丁目
3444,松が丘一丁目
2635,新井一丁目
2662,新井四丁目
2634,新井二丁目
2661,新井三丁目
3414,上高田二丁目
3417,上高田三丁目
2665,沼袋一丁目
2643,野方五丁目
2652,野方三丁目
2653,沼袋三丁目
2615,大和町三丁目
2616,大和町一丁目
2619,大和町二丁目
2641,若宮二丁目
2559,白鷺三丁目
2692,江古田二丁目
3478,江原町三丁目
26833,江古田四丁目
3471,江古田一丁目
2668,沼袋二丁目
2666,松が丘二丁目
2696,江原町二丁目
2656,沼袋四丁目
2646,野方六丁目
2655,野方四丁目
2673,丸山二丁目
2645,若宮一丁目
2648,鷺宮一丁目
2672,鷺宮二丁目
2644,若宮三丁目
2569,鷺宮三丁目
2556,白鷺二丁目
2565,白鷺一丁目
2617,大和町四丁目
2567,鷺宮四丁目
2586,上鷺宮二丁目
2588,上鷺宮四丁目
2594,上鷺宮一丁目
2582,鷺宮六丁目
2584,上鷺宮五丁目
2589,上鷺宮三丁目
3475,江原町一丁目
2695,江古田三丁目
