townid,town
3846,曙町
38442,旭北町
3841,旭南町
3752,礒野北町
37348,礒野新町
3728,礒野町
37378,礒野東町
37375,礒野南町
3842,今里町
3765,内本町
37661,永和町
3548,大字秋吉
3783,大字有井
6211,大字池尻
3781,大字池田
3727,大字礒野
3745,大字市場
3576,大字出
3827,大字今里
3819,大字今里川合方
6113,大字大谷
3756,大字大中
3754,大字岡崎
3544,大字奥田
3578,大字勝目
6132,大字神楽
3494,大字曽大根
3813,大字田井
3799,大字高田
3788,大字築山
3879,大字土庫
3572,大字西坊城
355,大字根成柿
377,大字野口
3721,大字東中
6213,大字藤森
388,大字松塚
3546,大字吉井
3764,大中東町
3761,大中南町
3871,大東町
3729,春日町一丁目
3726,春日町二丁目
3738,片塩町
37323,甘田町
37626,北片塩町
37921,北本町
3577,蔵之宮町
3857,材木町
3793,幸町
37345,栄町
38447,三和町
3848,東雲町
3845,昭和町
3794,神楽一丁目
37954,神楽二丁目
37956,神楽三丁目
3489,曽大根一丁目
3498,曽大根二丁目
3811,田井新町
3768,高砂町
3875,土庫一丁目
38764,土庫二丁目
38766,土庫三丁目
3818,中今里町
3736,中三倉堂一丁目
3733,中三倉堂二丁目
3499,南陽町
3767,西町
3735,西三倉堂一丁目
37324,西三倉堂二丁目
3722,東中一丁目
3731,東中二丁目
3817,東三倉堂町
3874,日之出町
37928,日之出西本町
3796,日之出東本町
37667,本郷町
3815,南今里町
37627,南本町
