townid,town
6211,大字西谷
3794,大字山入
3799,大字越川
3785,大字田沢
3878,大字玉梨
6212,大字八町
62178,大字中川
6138,大字本名
6131,大字大塩
6123,大字滝沢
6243,大字水沼
3798,大字横田
62143,大字小栗山
6224,大字沼沢
6216,大字太郎布
62146,大字川口
62173,大字大志
6219,大字大栗山
