townid,town
8373,青島
8669,赤土
9763,穴沢
9177,池平
8399,池平新田
8643,泉沢
83574,伊勢島
8355,板木
838477,稲荷町一丁目
83856,井口新田
984,芋鞘
825,魚野地
68,宇津野
838472,浦町一丁目
8371,大石
8569,大芋川
8343,大浦
8319,大浦新田
8698,大倉
86961,大倉沢
8392,大沢
983,大白川
8388,大塚新田
973,大栃山
9712,大原新田
913,大湯温泉
8317,岡新田
8687,小平尾
8656,親柄
912,折立又新田
86671,金ケ沢
916,上折立
9727,上長鳥新田
8391,上原
8683,栗山
83876,小出島
8381,古新田
86552,小庭名
83852,佐梨
86217,下倉
9725,渋川
915,下折立
86641,下田
947,須川
893,須原
838479,諏訪町一丁目
979,高倉
8297,田川
9769,田小屋
8378,田戸
86676,田中
8398,中家
8631,中家新田
9179,中子沢
8342,十日町
86213,中島
9716,長鳥
8376997,中ノ島
8382,中原
86645,長堀新田
83894,七日市
83893,七日市新田
9719,西名
974,西名新田
861,根小屋
828,原
83576,原虫野
9755,東野名
83899,一日市
836,干溝
9764,平野又
83874,日渡新田
86966,福田新田
892,福山新田
9713,細野
8295,堀之内
838474,本町一丁目
838475,本町二丁目
838476,本町三丁目
948,松川
867,水沢
919,三ツ又
9173,蓑和田
8695,三渕沢
86644,宮沢新田
9751,宮椿新田
8242,明神
9171,葎沢
8354,虫野
8649,茂沢
838471,柳原一丁目
8628,山口
914,湯之谷芋川
8376992,横町一丁目
8376999,横町二丁目
9767,横根
8377,与五郎新田
8394,吉田
86551,吉平
8654,吉原
8291,吉水
8379,四日町
941,米沢
8652,連日
8653,和田
8532,和長島
86226,新保
8539,徳田
8562,竜光
85293,下新田
86227,中島新田
8624,東中
8625,田尻
8629,並柳
8661,横瀬
8663,清本
8639,江口
8632,山田
8626,今泉
85297,新道島
8523,下島
