都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード,geo3x3,localcode
01,北海道,01202,函館市,012020001000,青柳町,41.757089,140.716562,0,1,E92471969457,1969457
01,北海道,01202,函館市,012020002001,赤川一丁目,41.825774,140.759918,0,3,E92472777314,2777314
01,北海道,01202,函館市,012020003000,赤川町,41.841914,140.771936,0,1,E92472778487,2778487
01,北海道,01202,函館市,012020004000,赤坂町,41.776305,140.833698,0,1,E92472781272,2781272
01,北海道,01202,函館市,012020005000,浅野町,41.794626,140.725521,0,1,E92471993881,1993881
01,北海道,01202,函館市,012020006000,旭岡町,41.800661,140.836041,0,1,E92472784251,2784251
01,北海道,01202,函館市,012020007000,旭町,41.766831,140.728006,0,1,E92471969883,1969883
01,北海道,01202,函館市,012020008000,石川町,41.835341,140.743643,0,1,E92472777416,2777416
01,北海道,01202,函館市,012020009000,石倉町,41.772750,140.850854,0,1,E92472782141,2782141
01,北海道,01202,函館市,012020010000,石崎町,41.753216,140.879141,0,1,E92472759415,2759415
01,北海道,01202,函館市,012020011000,入舟町,41.767381,140.695320,0,1,E92471968871,1968871
01,北海道,01202,函館市,012020012000,岩戸町,41.984194,140.859274,0,1,E92475155766,5155766
01,北海道,01202,函館市,012020013000,庵原町,41.813705,140.875763,0,1,E92472785694,2785694
01,北海道,01202,函館市,012020014000,上野町,41.785923,140.799481,0,1,E92472773484,2773484
01,北海道,01202,函館市,012020015000,宇賀浦町,41.771121,140.744237,0,1,E92472771124,2771124
01,北海道,01202,函館市,012020016000,臼尻町,41.922249,140.939305,0,1,E92475138491,5138491
01,北海道,01202,函館市,012020017000,絵紙山町,41.833618,141.116063,0,1,E92472888611,2888611
01,北海道,01202,函館市,012020018000,恵山町,41.788415,141.154788,0,1,E92472891713,2891713
01,北海道,01202,函館市,012020019000,恵山岬町,41.811536,141.176836,0,1,E92472894667,2894667
01,北海道,01202,函館市,012020020000,榎本町,41.786710,140.793825,0,1,E92472772695,2772695
01,北海道,01202,函館市,012020021000,追分町,41.798688,140.731485,0,1,E92471996236,1996236
01,北海道,01202,函館市,012020022000,大川町,41.797915,140.738935,0,1,E92471996332,1996332
01,北海道,01202,函館市,012020023000,大手町,41.769277,140.723697,0,1,E92471969878,1969878
01,北海道,01202,函館市,012020024000,大縄町,41.781137,140.734669,0,1,E92471993627,1993627
01,北海道,01202,函館市,012020025000,大船町,41.951787,140.912237,0,1,E92475161497,5161497
01,北海道,01202,函館市,012020026000,大町,41.769485,140.709669,0,1,E92471968989,1968989
01,北海道,01202,函館市,012020027000,大澗町,41.750894,141.069427,0,1,E92472849399,2849399
01,北海道,01202,函館市,012020028000,大森町,41.767850,140.734049,0,1,E92471969976,1969976
01,北海道,01202,函館市,012020029000,尾札部町,41.869442,141.003943,0,1,E92475211598,5211598
01,北海道,01202,函館市,012020030000,小安町,41.747788,140.909286,0,1,E92472767157,2767157
01,北海道,01202,函館市,012020031000,小安山町,41.756189,140.925074,0,1,E92472767645,2767645
01,北海道,01202,函館市,012020032000,海岸町,41.781330,140.729485,0,1,E92471993537,1993537
01,北海道,01202,函館市,012020033001,鍛治一丁目,41.804169,140.763830,0,3,E92472774385,2774385
01,北海道,01202,函館市,012020033002,鍛治二丁目,41.807475,140.767099,0,3,E92472774635,2774635
01,北海道,01202,函館市,012020034000,柏木町,41.787396,140.767252,0,1,E92472771699,2771699
01,北海道,01202,函館市,012020035000,柏野町,41.800019,141.149656,0,1,E92472886337,2886337
01,北海道,01202,函館市,012020036000,川汲町,41.890948,140.950775,0,1,E92475135539,5135539
01,北海道,01202,函館市,012020037000,金堀町,41.776165,140.760452,0,1,E92472771372,2771372
01,北海道,01202,函館市,012020038000,蛾眉野町,41.808547,140.973410,0,1,E92472796527,2796527
01,北海道,01202,函館市,012020039000,釜谷町,41.741319,140.941369,0,1,E92472765799,2765799
01,北海道,01202,函館市,012020040000,上新川町,41.780445,140.738240,0,1,E92471993634,1993634
01,北海道,01202,函館市,012020041001,神山一丁目,41.816009,140.762758,0,3,E92472774921,2774921
01,北海道,01202,函館市,012020041002,神山二丁目,41.812340,140.767340,0,3,E92472774693,2774693
01,北海道,01202,函館市,012020041003,神山三丁目,41.816222,140.767715,0,3,E92472774933,2774933
01,北海道,01202,函館市,012020042000,神山町,41.826042,140.766486,0,1,E92472777335,2777335
01,北海道,01202,函館市,012020043000,上湯川町,41.786339,140.818912,0,1,E92472773685,2773685
01,北海道,01202,函館市,012020044000,亀尾町,41.798079,140.850650,0,1,E92472785114,2785114
01,北海道,01202,函館市,012020045000,亀田大森町,41.892755,140.806255,0,1,E92475116545,5116545
01,北海道,01202,函館市,012020046000,亀田中野町,41.874508,140.774003,0,1,E92475112756,5112756
01,北海道,01202,函館市,012020047000,亀田本町,41.805284,140.737214,0,1,E92471996389,1996389
01,北海道,01202,函館市,012020048000,亀田町,41.795478,140.733781,0,1,E92471993976,1993976
01,北海道,01202,函館市,012020049000,亀田港町,41.808978,140.726763,0,1,E92471996528,1996528
01,北海道,01202,函館市,012020050000,川上町,41.770659,141.067337,0,1,E92472873334,2873334
01,北海道,01202,函館市,012020051000,川原町,41.791411,140.773504,0,1,E92472772753,2772753
01,北海道,01202,函館市,012020052001,桔梗一丁目,41.829766,140.729474,0,3,E92471999267,1999267
01,北海道,01202,函館市,012020052002,桔梗二丁目,41.838077,140.728345,0,3,E92471999556,1999556
01,北海道,01202,函館市,012020052003,桔梗三丁目,41.845133,140.726998,0,3,E92471999828,1999828
01,北海道,01202,函館市,012020052004,桔梗四丁目,41.849562,140.725604,0,3,E92471999881,1999881
01,北海道,01202,函館市,012020052005,桔梗五丁目,41.849476,140.732538,0,3,E92471999971,1999971
01,北海道,01202,函館市,012020053000,桔梗町,41.850869,140.749613,0,1,E92472777799,2777799
01,北海道,01202,函館市,012020054000,北浜町,41.798094,140.727481,0,1,E92471996225,1996225
01,北海道,01202,函館市,012020055001,北美原一丁目,41.827555,140.746555,0,3,E92472777153,2777153
01,北海道,01202,函館市,012020055002,北美原二丁目,41.828771,140.750001,0,3,E92472777244,2777244
01,北海道,01202,函館市,012020055003,北美原三丁目,41.830508,140.752638,0,3,E92472777249,2777249
01,北海道,01202,函館市,012020056000,吉畑町,41.747158,141.052094,0,1,E92472849244,2849244
01,北海道,01202,函館市,012020057000,木直町,41.867765,141.070748,0,1,E92475221471,5221471
01,北海道,01202,函館市,012020058000,古武井町,41.788356,141.117510,0,1,E92472882912,2882912
01,北海道,01202,函館市,012020059000,駒場町,41.782328,140.773885,0,1,E92472772453,2772453
01,北海道,01202,函館市,012020060000,五稜郭町,41.796043,140.754373,0,1,E92472771888,2771888
01,北海道,01202,函館市,012020061000,栄町,41.764572,140.726446,0,1,E92471969854,1969854
01,北海道,01202,函館市,012020062000,汐首町,41.722300,140.957205,0,1,E92472765394,2765394
01,北海道,01202,函館市,012020063000,東雲町,41.769119,140.729958,0,1,E92471969898,1969898
01,北海道,01202,函館市,012020064000,志海苔町,41.765668,140.820906,0,1,E92472749967,2749967
01,北海道,01202,函館市,012020065000,島泊町,41.826254,141.145785,0,1,E92472889316,2889316
01,北海道,01202,函館市,012020066001,昭和一丁目,41.816319,140.743487,0,3,E92472774716,2774716
01,北海道,01202,函館市,012020066002,昭和二丁目,41.813586,140.738710,0,3,E92471996695,1996695
01,北海道,01202,函館市,012020066003,昭和三丁目,41.820507,140.736437,0,3,E92471996958,1996958
01,北海道,01202,函館市,012020066004,昭和四丁目,41.816774,140.731886,0,3,E92471996914,1996914
01,北海道,01202,函館市,012020067000,昭和町,41.816021,140.726049,0,1,E92471996821,1996821
01,北海道,01202,函館市,012020068000,白鳥町,41.793392,140.745547,0,1,E92472771758,2771758
